variant_id,module,annualized_turnover,total_turnover,taxable_turnover,tax_paid_krw,gross_sharpe,after_cost_sharpe,after_tax_sharpe,cost_sharpe_drag,tax_sharpe_drag,cost_cagr_drag,tax_cagr_drag
XETF900_V01,A,10.705159220143292,164.51213881632935,81.94834429252877,25716923.587063637,0.6222948185944855,0.444244600507582,0.3578256703425361,-0.17805021808690352,-0.08641893016504593,-0.034658516775164516,-0.01622182280786677
XETF900_V02,A,9.908840606443254,152.2746675536372,75.82270649692575,28075186.44473654,0.6069774680153752,0.4322122227169922,0.342846293393673,-0.174765245298383,-0.08936592932331922,-0.0318701417741849,-0.015756611982167268
XETF900_V03,A,5.1732601368045,79.50036727688887,39.42352956352199,17013286.89794474,0.4160818432964571,0.3370088632127112,0.2727032864013413,-0.07907298008374591,-0.06430557681136989,-0.016220122185228725,-0.0129198475100476
XETF900_V04,A,4.98583733095951,76.62013672464265,37.980911003530004,20167180.684752494,0.4241159855536918,0.34170647873166266,0.268279793680915,-0.08240950682202913,-0.07342668505074768,-0.015598988387944823,-0.013549853402309964
XETF900_V05,A,7.71562863067716,118.5703586693796,58.98002131747098,26184795.973685365,0.559335030303658,0.43141782278920376,0.35413505529484285,-0.1279172075144543,-0.07728276749436092,-0.024743518374223727,-0.014393987944272046
XETF900_V06,A,6.880181216704758,105.73157335897002,52.519774608021116,27738888.19090327,0.5754149074038123,0.4545418724088504,0.37840127170890736,-0.12087303499496188,-0.07614060069994305,-0.022035449043381616,-0.013307857322038208
XETF900_V07,A,4.337417290969284,66.65550514499819,32.982851258360704,18206698.437270477,0.42137165955509936,0.3533414903919617,0.29561081143534057,-0.06803016916313764,-0.05773067895662115,-0.013576091842523175,-0.011244608604245476
XETF900_V08,A,3.9627202907382304,60.89732783549264,30.103581113359077,20069225.99966811,0.4030892538545356,0.3376146964438323,0.2730667669287078,-0.0654745574107033,-0.0645479295151245,-0.012322429470977836,-0.011879860585352064
XETF900_V09,B,3.810355223393775,58.55584905929982,28.8917773172471,89654837.66437683,1.2054753399630762,1.1208428852799037,0.9969546803877942,-0.08463245468317249,-0.1238882048921095,-0.013031776089477365,-0.01663787174352116
XETF900_V10,B,2.752243477182983,42.29525704976888,20.73276525786736,40608577.6776073,1.2169069322038546,1.1494237534192897,1.0658020889075541,-0.06748317878456489,-0.08362166451173558,-0.00923246735510408,-0.010171802835403643
XETF900_V11,B,2.115927520867865,32.516635659497126,15.883982042950041,74102195.45459926,1.0525293237467876,1.0083493101972933,0.8969328504254483,-0.0441800135494943,-0.111416459771845,-0.007042923904066578,-0.015014343936785579
XETF900_V12,B,1.7234627405622835,26.485410986382195,12.81022344991371,27857488.38005374,0.9860854320168609,0.9462150159971839,0.8852961803842706,-0.039870416019677,-0.060918835612913336,-0.005572816496033806,-0.0075334165988794055
XETF900_V13,B,2.9885180478493396,45.926219856477324,22.576507754598,42322039.782646604,1.1194577927250942,1.0547598122819821,0.9813571380417913,-0.06469798044311204,-0.07340267424019087,-0.01011296574421272,-0.010528340682335102
XETF900_V14,B,2.028629613930947,31.175080145090774,15.149606995148604,34269323.10945034,1.0960531088138397,1.0476047929786052,0.982418170168147,-0.04844831583523446,-0.06518662281045817,-0.006666514085163833,-0.008359831504372695
XETF900_V15,B,1.9895950320190872,30.575214003348766,14.865570774187505,34705242.25225125,1.019342908404523,0.9782785133740909,0.9214159969839696,-0.04106439503043202,-0.0568625163901213,-0.006588173578515377,-0.008518944615743651
XETF900_V16,B,1.394948480497337,21.43694954423423,10.284276673125488,26866233.122424472,1.095892059993467,1.0631846609309012,1.0095512102043434,-0.0327073990625657,-0.053633450726557896,-0.004523666759666867,-0.007024010125848745
XETF900_V17,C,0.6511931921400996,10.007248151902475,4.524720012835351,11032395.845154924,0.8181576405697631,0.8001587321638884,0.7666761194870614,-0.017998908405874703,-0.03348261267682706,-0.001893642369253934,-0.0033790133999358485
XETF900_V18,C,0.45393414965609924,6.975858677671964,3.0030527809587504,11223135.614327276,0.8446242521098605,0.8327333395192864,0.7997507842193042,-0.011890912590574065,-0.032982555299982175,-0.0012596868834566788,-0.0033037046906412293
XETF900_V19,C,0.4861668361607297,7.471196307652774,3.251168653551886,9847487.204913845,0.8365134072856766,0.8235674171181103,0.7942700431791585,-0.012945990167566257,-0.02929737393895182,-0.0013631876275366217,-0.0029734240531771317
XETF900_V20,C,0.33234138603312124,5.107275016574701,2.0662987387562186,9109898.790153202,0.8580172837667638,0.8498352740057526,0.8231005430162891,-0.008182009761011133,-0.02673473098946355,-0.0008670095527443245,-0.002700202185343059
XETF900_V21,C,0.8624736652500661,13.254112753042083,6.147545895494277,10248840.975978415,0.8199337375502339,0.7943328709098004,0.7602543350309118,-0.025600866640433484,-0.03407853587888865,-0.0025682662933170786,-0.003274530854997959
XETF900_V22,C,0.5703857108056009,8.765434619443772,3.897901157755478,10375627.088109437,0.8522026736867776,0.8360897907289507,0.8038265134508512,-0.01611288295782687,-0.03226327727809952,-0.0016330630257392897,-0.003080777228541276
XETF900_V23,C,0.5696968869944395,8.754849080629128,3.8923375949260315,8848407.331367722,0.8425136334470179,0.8263097651425815,0.7972160740764269,-0.01620386830443643,-0.02909369106615456,-0.0016293460968062057,-0.002822786837576974
XETF900_V24,C,0.3767654354052996,5.789964103846534,2.4080169182442615,8168061.456179801,0.8655203179835796,0.8555660767521671,0.829647385957422,-0.00995424123141253,-0.02591869079474507,-0.0010087367042530548,-0.0024971319192002017
