subperiod,year,trades,net,annualized,max_DD,sharpe
full,2010,0,0.0,0.0,0.0,
full,2011,0,0.0,0.0,0.0,
full,2012,0,0.0,0.0,0.0,
full,2013,0,0.0,0.0,0.0,
full,2014,0,0.0,0.0,0.0,
full,2015,0,0.0,0.0,0.0,
full,2017,0,0.0,0.0,0.0,
full,2018,0,0.0,0.0,0.0,
full,2019,10,0.027749348305260213,0.028435695643197256,-0.12145723212802884,0.22065435702744102
full,2020,5,0.2461360848272729,0.2505666731530547,-0.06032661360699021,2.2466104464595578
full,2021,5,-0.03531652054910206,-0.03587580059478057,-0.13801786499317925,-0.24155403355460017
full,2022,0,0.0,0.0,0.0,
full,2023,15,-0.01772939719711597,-0.018231305903644968,-0.2230563388340373,-0.09441200535199709
full,2024,15,0.042247217979162865,0.043662188202400865,-0.12974341814274248,0.23376556480241792
full,2025,20,0.7666554035490463,0.8086924773869695,-0.15677023599942375,2.705547991032231
full,2026,0,0.0,0.0,0.0,
scheme_a_is,2015,0,0.0,0.0,0.0,
scheme_a_is,2017,0,0.0,0.0,0.0,
scheme_a_is,2018,0,0.0,0.0,0.0,
scheme_a_is,2019,10,0.027749348305260213,0.028435695643197256,-0.12145723212802884,0.22065435702744102
scheme_a_is,2020,5,0.24283382420248056,0.2471992918574999,-0.06032661360699021,2.2257082184979877
scheme_a_oos,2021,5,-0.03531652054910228,-0.03587580059478079,-0.13801786499317914,-0.24155403355460192
scheme_a_oos,2022,0,0.0,0.0,0.0,
scheme_a_oos,2023,15,-0.017729397197116303,-0.0182313059036453,-0.2230563388340373,-0.0944120053519988
scheme_a_oos,2024,15,0.04224721797916309,0.04366218820240109,-0.12974341814274226,0.2337655648024191
scheme_a_oos,2025,20,0.766655403549046,0.8086924773869693,-0.15677023599942375,2.705547991032229
scheme_a_oos,2026,0,0.0,0.0,0.0,
scheme_b_is,2015,0,0.0,0.0,0.0,
scheme_b_is,2017,0,0.0,0.0,0.0,
scheme_b_is,2018,0,0.0,0.0,0.0,
scheme_b_is,2019,10,0.025025812532251335,0.02564395928801,-0.12145723212802884,0.198795795694003
scheme_b_oos,2020,5,0.24613608482727267,0.2505666731530545,-0.0603266136069901,2.246610446459558
scheme_b_oos,2021,5,-0.03531652054910184,-0.03587580059478035,-0.13801786499317914,-0.24155403355459912
scheme_b_oos,2022,0,0.0,0.0,0.0,
scheme_b_oos,2023,15,-0.017729397197116303,-0.0182313059036453,-0.22305633883403742,-0.09441200535199898
scheme_b_oos,2024,15,0.04224721797916264,0.04366218820240064,-0.1297434181427426,0.23376556480241684
scheme_b_oos,2025,20,0.7666554035490463,0.8086924773869695,-0.15677023599942386,2.7055479910322293
scheme_b_oos,2026,0,0.0,0.0,0.0,
scheme_c_is,2015,0,0.0,0.0,0.0,
scheme_c_is,2017,0,0.0,0.0,0.0,
scheme_c_is,2018,0,0.0,0.0,0.0,
scheme_c_is,2019,10,0.027749348305260213,0.028435695643197256,-0.12145723212802884,0.22065435702744102
scheme_c_is,2020,5,0.2461360848272729,0.2505666731530547,-0.06032661360699021,2.2466104464595578
scheme_c_is,2021,5,-0.03531652054910206,-0.03587580059478057,-0.13801786499317925,-0.24155403355460017
scheme_c_oos,2022,0,0.0,0.0,0.0,
scheme_c_oos,2023,15,-0.01772939719711608,-0.01823130590364508,-0.22305633883403742,-0.09441200535199773
scheme_c_oos,2024,15,0.04224721797916309,0.04366218820240109,-0.1297434181427426,0.2337655648024192
scheme_c_oos,2025,20,0.766655403549046,0.8086924773869693,-0.15677023599942386,2.7055479910322293
scheme_c_oos,2026,0,0.0,0.0,0.0,
