ending_year,start_year,end_year,sharpe
2017,2015,2017,
2018,2016,2018,
2019,2017,2019,0.12697613882558836
2020,2018,2020,0.8997529895141513
2021,2019,2021,0.6506354942831979
2022,2020,2022,0.6904086655271232
2023,2021,2023,-0.12975838531466957
2024,2022,2024,0.065646477628819
2025,2023,2025,0.9686706754834163
2026,2024,2026,1.320683836398848
