period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,0.2403692106606221,0.2488558291225731,0.0318749718958784,0.03290038629102754,-0.04658520491128293,-0.0466295665722366,10,10
2018-2026,2018-01-01,2026-05-04,2.1463601903151597,2.3577707586018626,0.15171130956235634,0.16097774239295215,-0.41474162966818906,-0.40885263832983465,100,100
