cycle,bbs_seq,reg_dt,is_tier1,index_name,ticker,company_name,source_file,source_file_sha256,source_class,source_record_type,parse_status,caveat
2021-06,734,2021-05-25,yes,KOSPI 200,000070,삼양홀딩스,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000080,하이트진로,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000100,유한양행,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000120,CJ대한통운,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000150,두산,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000210,DL,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000240,한국앤컴퍼니,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000270,기아,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000660,SK하이닉스,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
2021-06,734,2021-05-25,yes,KOSPI 200,000670,영풍,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,B_snapshot_with_change_detail,snapshot_with_change_detail,parsed_snapshot_from_kospi200_구성종목_sheet,user_renamed_filename_authoritative_cycle_per_Referee_high_confidence_mapping; snapshot represents post-effective-date constituents for this cycle
