event_id,review_cycle,announcement_dt,announcement_time,effective_dt,index_name,side,ticker,company_name,source_class,source_record_type,source_id_or_url,source_file,source_file_sha256,prev_snapshot_file,prev_snapshot_sha256,prev_snapshot_cycle,tier1_status,parse_status,caveat
BX01-00159-SPECIAL,,2010-01-22,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=159,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00160-SPECIAL,,2010-02-24,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=160,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00164-SPECIAL,,2010-03-31,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=164,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00168-CYCLE,,2010-05-26,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=168,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00173-SPECIAL,,2010-06-25,,,,addition,,삼성생명보험(주,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=173,,,,,,out_of_tier1,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s*의\s+K; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00192-SPECIAL,,2011-03-07,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=192,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00194-SPECIAL,,2011-03-11,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=194,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00232-CYCLE,,2012-06-04,,,KOSPI 200,cycle,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=232,,,,,,out_of_tier1,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00249-SPECIAL,,2012-12-12,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=249,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00253-SPECIAL,,2012-12-31,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=253,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00260-SPECIAL,,2013-03-22,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=260,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00261-SPECIAL,,2013-03-28,,,,deletion,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=261,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00262-SPECIAL,,2013-04-02,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=262,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00264-SPECIAL,,2013-04-18,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=264,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
BX01-00265-SPECIAL,,2013-04-23,,,,supplemental,,,notice_metadata_only,notice_level_skeleton_only,KRX MDCINFO005 bbsSeq=265,,,,,,out_of_tier1,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table; CARRIED FORWARD from source-A0 phase — special/supplemental event; Tier 2/3 deferred per directive
