event_id,review_cycle,announcement_dt,announcement_time,effective_dt,side,ticker,company_name,event_type,source_id_or_url,parse_status,caveat
BX01-00159-SPECIAL,,2010-01-22,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=159,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00160-SPECIAL,,2010-02-24,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=160,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00164-SPECIAL,,2010-03-31,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=164,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00168-CYCLE,,2010-05-26,,,cycle,,,regular_review,KRX MDCINFO005 bbsSeq=168,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation
BX01-00173-SPECIAL,,2010-06-25,,,addition,,삼성생명보험(주,special,KRX MDCINFO005 bbsSeq=173,title_extracted_name,title-pattern:^([가-힣A-Z0-9()\.\s]+?)\s*의\s+K; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00192-SPECIAL,,2011-03-07,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=192,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00194-SPECIAL,,2011-03-11,,,deletion,,,special,KRX MDCINFO005 bbsSeq=194,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00232-CYCLE,,2012-06-04,,,cycle,,,regular_review,KRX MDCINFO005 bbsSeq=232,metadata_only__constituents_gated_on_attachment_download,no-cycle-in-title; constituent-level adds/deletes are in xlsx/hwp attachments which this sandbox cannot fetch (file.krx.co.kr returns Content-Length: 0 for all OTP-token download attempts); effective_dt requires KRX trading-calendar reconciliation
BX01-00249-SPECIAL,,2012-12-12,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=249,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00253-SPECIAL,,2012-12-31,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=253,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
BX01-00260-SPECIAL,,2013-03-22,,,supplemental,,,special,KRX MDCINFO005 bbsSeq=260,metadata_only__no_name_in_title,no-name-extracted-from-title; exact effective date and any per-constituent details are in the attachment (xlsx/hwp/pdf) which this sandbox cannot fetch; company-name extraction is title-based heuristic and NOT cross-checked against an exchange listing-name table
