hypothesis,description,value,threshold,passes
H1,V1 cumulative net total return > 0,-0.22013309027255956,0.0,False
H2,V1 cumulative net >= V2 cumulative net - 30pp,-20.315310716721886,-0.3,False
H3,"V1 positive in at least 2 of 2010, 2025, 2026",2.0,2.0,True
H4,V1 max drawdown improves on V2 by at least 5pp,-0.4024059864402929,-0.05,True
H5,V1 positive in >= 8 of 16 years,4.0,8.0,False
H6,V1 net / V1 cost-0 >= 0.7,1.4336340978346231,0.7,True
H7,V1 quarterly cumulative net improves on C003 monthly by >= 10pp,0.3215742907054375,0.1,True
