date,V1_factor_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2021-07-27,1.3426959964125051,5.314231407645085,1.0
2021-07-28,1.3341093561245931,5.322539366348334,1.0
2021-07-29,1.3326048633616248,5.332981270345391,1.0
2021-07-30,1.3233322034246109,5.267707847389456,1.0
2021-08-02,1.3390879105931295,5.303732171818108,1.0
2021-08-03,1.3444736133008564,5.32925143192644,1.0
2021-08-04,1.3654285780385003,5.401376980544258,1.0
2021-08-05,1.3662767191540275,5.3956720089695205,1.0
2021-08-06,1.3504341364489265,5.412455310655821,1.0
2021-08-09,1.3535891603821266,5.398695142484971,1.0
2021-08-10,1.3402005397359587,5.377363164148199,1.0
2021-08-11,1.3135333919812773,5.343549760478257,1.0
2021-08-12,1.3090726391030891,5.325872336714744,1.0
2021-08-13,1.302861481264175,5.266714811181417,1.0
2021-08-17,1.2891175436592897,5.225093108213438,1.0
2021-08-18,1.3007519895981599,5.25301065825716,1.0
2021-08-19,1.2927851321654846,5.155269976728974,1.0
2021-08-20,1.2871262734719244,5.094697957729179,1.0
2021-08-23,1.2704482567238655,5.148644237368779,1.0
2021-08-24,1.2853718341212153,5.2327435997711405,1.0
2021-08-25,1.2850382180974518,5.248604019512746,1.0
2021-08-26,1.2716079399072955,5.220707053427203,1.0
2021-08-27,1.2663991442619622,5.230904619482801,1.0
2021-08-30,1.271116340134248,5.249665630240218,1.0
2021-08-31,1.2942816540301496,5.342834101071992,1.0
2021-09-01,1.2883069108581757,5.360146786970723,1.0
2021-09-02,1.2791002097445805,5.310693195580884,1.0
2021-09-03,1.2959405702471725,5.354857849100909,1.0
2021-09-06,1.30350805226152,5.361248292454105,1.0
2021-09-07,1.289815478410239,5.336116209637314,1.0
2021-09-08,1.243622269545268,5.299578159215597,1.0
2021-09-09,1.2071538656466636,5.220790466798011,1.0
2021-09-10,1.2187919312865687,5.241144778780685,1.0
2021-09-13,1.2171137640692957,5.246616699830623,1.0
2021-09-14,1.2116514954871842,5.283944096445684,1.0
2021-09-15,1.2040245391887408,5.293442160970681,1.0
2021-09-16,1.1919553116318315,5.255793015625059,1.0
2021-09-17,1.1947468964915182,5.275389063962459,1.0
2021-09-23,1.2014994635807195,5.256666816507637,1.0
2021-09-24,1.2094839139681577,5.254694527497381,1.0
2021-09-27,1.2140288530627443,5.270713266324537,1.0
2021-09-28,1.197735094910216,5.213095687957923,1.0
2021-09-29,1.174281146082081,5.151737429339907,1.0
2021-09-30,1.1869115378677715,5.1687855522078365,1.0
2021-10-01,1.153253194855694,5.086795113569639,1.0
2021-10-05,1.1146533952034305,4.995191051694826,1.0
2021-10-06,1.1032853563222536,4.906939382371831,1.0
2021-10-07,1.1194030257239758,4.9955609318703385,1.0
2021-10-08,1.1241865162863516,4.993208719828732,1.0
2021-10-12,1.1111467026693622,4.928897796208915,1.0
2021-10-13,1.1198875767317586,4.978201683623456,1.0
2021-10-14,1.1536136777958683,5.055017744535909,1.0
2021-10-15,1.1646059143645853,5.101186700544142,1.0
2021-10-18,1.1581360098942028,5.088112673974832,1.0
2021-10-19,1.1712639437923693,5.127276060895891,1.0
2021-10-20,1.175312002752425,5.101991237933635,1.0
2021-10-21,1.1612009517175466,5.093666381408982,1.0
2021-10-22,1.1718391030733184,5.092826610460182,1.0
2021-10-25,1.1717181317308878,5.119291997207264,1.0
2021-10-26,1.1883693816611065,5.1687379967860645,1.0
2021-10-27,1.1888793428779452,5.130044890779685,1.0
2021-10-28,1.205513893662847,5.106095557971848,1.0
2021-10-29,1.1828662120213187,5.041601691090615,1.0
2021-11-01,1.1917320040122648,5.057180062061709,1.0
2021-11-02,1.1996953441946785,5.1168596981453405,1.0
2021-11-03,1.173214863696799,5.0596384959290575,1.0
2021-11-04,1.179772483299212,5.075673619764489,1.0
2021-11-05,1.1787463615261473,5.053416421013207,1.0
2021-11-08,1.164221916109989,5.041483925883612,1.0
2021-11-09,1.1732764060250294,5.046615847677369,1.0
2021-11-10,1.1588938020836608,4.993361064626735,1.0
2021-11-11,1.1561918008311323,4.98953823356217,1.0
2021-11-12,1.1661002010052888,5.0668806597008516,1.0
2021-11-15,1.1858057002653426,5.121434858035607,1.0
2021-11-16,1.1901654650560838,5.119095959313486,1.0
2021-11-17,1.1738526766299513,5.061331023243565,1.0
2021-11-18,1.1743921402065394,5.0374108816729475,1.0
2021-11-19,1.1875447022062664,5.080152710207689,1.0
2021-11-22,1.2189866997276189,5.1567845207045755,1.0
2021-11-23,1.2000613141512864,5.131648381395899,1.0
2021-11-24,1.1970765203662994,5.1279978655521115,1.0
2021-11-25,1.1873116523053193,5.1073880883162195,1.0
2021-11-26,1.1746262732308133,5.034553309510467,1.0
2021-11-29,1.1750599137128894,4.991631406783087,1.0
2021-11-30,1.1600168483514206,4.872918525145901,1.0
