top_k,top_sector_stock_counts,cumulative_net_total_return,sharpe,max_drawdown,trade_count,e007_exact_reproduction
2,3/2,1.8134907392078512,0.33291180786088603,-0.481841894540636,110,False
3,2/2/1,2.3200922451001436,0.48218421304767917,-0.3968185249283369,110,True
4,2/1/1/1,2.9652796624027413,0.5660027769289406,-0.41474162966818906,110,False
5,1/1/1/1/1,2.270205965794112,0.5146640851015111,-0.36582185935250466,110,False
