signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,within_sector,43,-0.10288461538461542,,,,
2017-06-30 00:00:00,within_sector,34,0.15833333333333335,,,,
2017-12-28 00:00:00,within_sector,34,0.02704831932773112,,,,
2019-06-28 00:00:00,within_sector,23,0.2571428571428571,,,,
2019-09-30 00:00:00,within_sector,33,0.18988095238095237,,,,
2019-12-30 00:00:00,within_sector,37,0.14182067932067932,,,,
2020-03-31 00:00:00,within_sector,29,0.506043956043956,,,,
2020-06-30 00:00:00,within_sector,26,-0.16163419913419913,,,,
2020-09-29 00:00:00,within_sector,35,0.2310855810855811,,,,
2020-12-30 00:00:00,within_sector,26,-0.21620879120879122,,,,
2021-03-31 00:00:00,within_sector,32,0.3076146076146076,,,,
2021-06-30 00:00:00,within_sector,47,0.3335904291786645,,,,
2021-09-30 00:00:00,within_sector,56,-0.1376007326007326,,,,
2021-12-30 00:00:00,within_sector,36,0.41071428571428564,,,,
2023-09-27 00:00:00,within_sector,30,0.15258907758907753,,,,
2023-12-28 00:00:00,within_sector,33,-0.09433066933066941,,,,
2024-03-29 00:00:00,within_sector,44,0.2891912009559069,,,,
2024-09-30 00:00:00,within_sector,57,0.09810814185814185,,,,
2025-06-30 00:00:00,within_sector,39,-0.20675245806824755,,,,
2025-09-30 00:00:00,within_sector,54,0.24231697739824679,,,,
2025-12-30 00:00:00,within_sector,38,-0.031035141329258942,,,,
2026-03-31 00:00:00,within_sector,47,0.07415322036065071,,,,
ALL,within_sector,833,0.08685257498838951,0.11223577328400715,0.20595796466493305,2.5560188492040794,22.0
