signal_date,mode,top_mean_forward_return,bottom_mean_forward_return,spread,spread_std,spread_t_stat,positive_spread_ratio,n_quarters
2017-03-31 00:00:00,within_sector,-0.18668806212931624,0.10996150474927552,-0.2966495668785918,,,,
2017-06-30 00:00:00,within_sector,0.10959593511432841,-0.03070934859092192,0.14030528370525033,,,,
2017-12-28 00:00:00,within_sector,0.09381607187996246,-0.029286308406644312,0.12310238028660678,,,,
2019-06-28 00:00:00,within_sector,0.08556900291478531,-0.09415503610869377,0.17972403902347908,,,,
2019-09-30 00:00:00,within_sector,0.04443104428173131,0.00890270316394648,0.03552834111778483,,,,
2019-12-30 00:00:00,within_sector,0.05878230289551126,-0.11191198508446201,0.17069428797997327,,,,
2020-03-31 00:00:00,within_sector,0.39091037293366565,0.08868881996164135,0.3022215529720243,,,,
2020-06-30 00:00:00,within_sector,0.2109626770755929,0.16458459112619783,0.046378085949395076,,,,
2020-09-29 00:00:00,within_sector,0.31724145989930086,0.26470576354569286,0.052535696353608,,,,
2020-12-30 00:00:00,within_sector,0.04208916251270853,0.10566718397627539,-0.06357802146356686,,,,
2021-03-31 00:00:00,within_sector,0.3342228274629719,0.09145294472142888,0.24276988274154299,,,,
2021-06-30 00:00:00,within_sector,0.16469525333965468,-0.063559864341305,0.22825511768095968,,,,
2021-09-30 00:00:00,within_sector,0.05501572298184243,-0.02246013044554593,0.07747585342738836,,,,
2021-12-30 00:00:00,within_sector,0.45040237398215094,0.19488458984097232,0.25551778414117865,,,,
2023-09-27 00:00:00,within_sector,-0.009854403496867614,-0.1210830146294754,0.11122861113260779,,,,
2023-12-28 00:00:00,within_sector,0.09780450428069531,0.07247033305815803,0.025334171222537283,,,,
2024-03-29 00:00:00,within_sector,0.292888154070289,0.047248686483856106,0.2456394675864329,,,,
2024-09-30 00:00:00,within_sector,-0.001966125000891661,-0.20220737102774236,0.2002412460268507,,,,
2025-06-30 00:00:00,within_sector,0.1057693007546383,0.04663674792033326,0.05913255283430505,,,,
2025-09-30 00:00:00,within_sector,0.8146726005663916,0.1684331539379584,0.6462394466284331,,,,
2025-12-30 00:00:00,within_sector,0.4292541673485043,0.18280215536296632,0.24645201198553798,,,,
2026-03-31 00:00:00,within_sector,0.21843024571275205,0.18038049570854442,0.03804975000420763,,,,
ALL,within_sector,0.18718384497183643,0.04779302795102074,0.13939081702081568,0.17422788534298203,3.7525616731330733,0.9090909090909091,22.0
