stress_window,sector,start_date,end_date,trading_days,total_return,max_drawdown,sharpe,status
dot_com_2000_2002,XLE,2000-01-03,2002-12-31,752,-0.0679052256799243,-0.47624987507059535,0.03392099723856704,measured
dot_com_2000_2002,XLF,2000-01-03,2002-12-31,752,0.061930168019471266,-0.3908353992720681,0.17016369036762977,measured
dot_com_2000_2002,XLK,2000-01-03,2002-12-31,752,-0.7184767074407448,-0.7987679543188039,-0.7246191144921095,measured
dot_com_2000_2002,XLV,2000-01-03,2002-12-31,752,-0.06865597907933985,-0.352956503404957,0.006143132869382835,measured
dot_com_2000_2002,XLP,2000-01-03,2002-12-31,752,-0.037978672940814584,-0.38040291871538,0.029667027261038162,measured
dot_com_2000_2002,XLU,2000-01-03,2002-12-31,752,-0.18188727767034563,-0.5419562983989439,-0.1564694151000261,measured
dot_com_2000_2002,XLI,2000-01-03,2002-12-31,752,-0.22265137607990482,-0.4579005146812136,-0.21533161784597235,measured
dot_com_2000_2002,XLY,2000-01-03,2002-12-31,752,-0.17343831651826325,-0.36898460211145523,-0.09185572158774724,measured
dot_com_2000_2002,XLB,2000-01-03,2002-12-31,752,-0.1280416987689369,-0.38355168056080735,-0.034188617402564715,measured
dot_com_2000_2002,XLRE,,,0,,,,unavailable
dot_com_2000_2002,XLC,,,0,,,,unavailable
gfc_2008_2009,XLE,2008-01-02,2009-12-31,505,-0.07824849051701488,-0.4304791093269036,0.1849410510962483,measured
gfc_2008_2009,XLF,2008-01-02,2009-12-31,505,-0.328036745949853,-0.6459279135978926,0.04128260113716208,measured
gfc_2008_2009,XLK,2008-01-02,2009-12-31,505,0.12245250392304907,-0.28144300165176384,0.31723029004911346,measured
gfc_2008_2009,XLV,2008-01-02,2009-12-31,505,0.1508464356744854,-0.21062442663283276,0.36079777467786617,measured
gfc_2008_2009,XLP,2008-01-02,2009-12-31,505,0.22392609174172295,-0.19959558762008012,0.46979659964051906,measured
gfc_2008_2009,XLU,2008-01-02,2009-12-31,505,-0.007751248470544758,-0.2676469929091976,0.1543636942383978,measured
gfc_2008_2009,XLI,2008-01-02,2009-12-31,505,-0.05534620622364417,-0.4161116926407219,0.10760383852858858,measured
gfc_2008_2009,XLY,2008-01-02,2009-12-31,505,0.1888074473491259,-0.3167926250217622,0.3958469958940318,measured
gfc_2008_2009,XLB,2008-01-02,2009-12-31,505,0.0398917265463643,-0.41718451200758344,0.25308618729466087,measured
gfc_2008_2009,XLRE,,,0,,,,unavailable
gfc_2008_2009,XLC,,,0,,,,unavailable
covid_2020_02_2020_03,XLE,2020-02-03,2020-03-31,41,-0.4252929037996981,-0.5452178427419583,-3.015097306193238,measured
covid_2020_02_2020_03,XLF,2020-02-03,2020-03-31,41,-0.29000939441068596,-0.39382385079834503,-2.0994546158932788,measured
covid_2020_02_2020_03,XLK,2020-02-03,2020-03-31,41,-0.14669604274075598,-0.2738082632631693,-0.7878113087337362,measured
covid_2020_02_2020_03,XLV,2020-02-03,2020-03-31,41,-0.09229494735050459,-0.2394301269558229,-0.6127968833692958,measured
covid_2020_02_2020_03,XLP,2020-02-03,2020-03-31,41,-0.11541838291933215,-0.2063232825348983,-0.9860053400745782,measured
covid_2020_02_2020_03,XLU,2020-02-03,2020-03-31,41,-0.17493493982005104,-0.32306034718800025,-1.1547943435724384,measured
covid_2020_02_2020_03,XLI,2020-02-03,2020-03-31,41,-0.2517432068290708,-0.38314228307256615,-2.1097571978377716,measured
covid_2020_02_2020_03,XLY,2020-02-03,2020-03-31,41,-0.20334776820316902,-0.3132638371053278,-1.8271876642072007,measured
covid_2020_02_2020_03,XLB,2020-02-03,2020-03-31,41,-0.2138639637906452,-0.32875701956533576,-1.619498873281728,measured
covid_2020_02_2020_03,XLRE,2020-02-03,2020-03-31,41,-0.1886226701103968,-0.3581947112574657,-1.3671768629375012,measured
covid_2020_02_2020_03,XLC,2020-02-03,2020-03-31,41,-0.17029769283712615,-0.26784141715778487,-1.4090350625960149,measured
rate_shock_2022,XLE,2022-01-03,2022-12-30,251,0.6858817076685819,-0.22606371428467076,1.7177922416800937,measured
rate_shock_2022,XLF,2022-01-03,2022-12-30,251,-0.06572204548507132,-0.1942828696181348,-0.07965715644656622,measured
rate_shock_2022,XLK,2022-01-03,2022-12-30,251,-0.24271907881271304,-0.2567205926284518,-0.6241195366589907,measured
rate_shock_2022,XLV,2022-01-03,2022-12-30,251,0.04651650572510002,-0.11797405215894463,0.2831105070113308,measured
rate_shock_2022,XLP,2022-01-03,2022-12-30,251,0.049314017559070056,-0.12681921808621033,0.34774045579688745,measured
rate_shock_2022,XLU,2022-01-03,2022-12-30,251,0.08375168465452831,-0.18043381559231764,0.4235701502824,measured
rate_shock_2022,XLI,2022-01-03,2022-12-30,251,0.007117425001416988,-0.13903038885010388,0.1227433708819332,measured
rate_shock_2022,XLY,2022-01-03,2022-12-30,251,-0.34473992965762656,-0.3557113650768098,-0.92509638771595,measured
rate_shock_2022,XLB,2022-01-03,2022-12-30,251,-0.060089765751719204,-0.16329831735744804,-0.14686567380259083,measured
rate_shock_2022,XLRE,2022-01-03,2022-12-30,251,-0.21261477485676228,-0.2393547526513805,-0.7734516988302075,measured
rate_shock_2022,XLC,2022-01-03,2022-12-30,251,-0.3448374950968611,-0.35899977080474044,-1.1511324404322252,measured
