event_id,review_cycle,ticker,side,source_record_type,exclusion_reason
BX01-00159-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00160-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00164-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00168-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00173-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00192-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00194-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00232-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00249-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00253-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00260-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00261-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00262-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00264-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00265-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00269-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00271-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00274-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00280-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00282-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00286-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00294-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00300-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00301-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00304-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00314-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00319-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00330-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00362-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00367-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00368-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00381-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00397-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00407-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00409-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00410-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00436-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00450-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00458-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00480-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00484-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00493-SPECIAL,,,supplemental,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00505-SPECIAL,,,deletion,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00508-CYCLE,,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00509-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00519-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00525-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00527-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00531-CYCLE,2017-12,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00533-CYCLE,2017-12,,cycle,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00544-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00547-SPECIAL,,,addition,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00553-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
BX01-00554-SPECIAL,,,split_action,notice_level_skeleton_only,skeleton_only_or_notice_level_only_not_constituent_level
