experiment,holding_days,event_count,mean_excess_return,median_excess_return,hit_rate,verdict
R001,21,1951,0.0010313307053897846,-0.01428783151513291,0.43311122501281396,WEAK
R001,63,1837,-0.019441811985751813,-0.045923468989003347,0.38922155688622756,FAIL
R001,126,1713,-0.06346304789328161,-0.10239709620207837,0.3508464681844717,FAIL
R002,21,370,-0.03440209552069202,-0.04256995144695941,0.31891891891891894,FAIL
R002,63,292,-0.06872904917665673,-0.08230458496742205,0.2842465753424658,FAIL
R002,126,268,-0.12315999664666549,-0.14205110888955336,0.291044776119403,FAIL
R003,21,5690,-0.013200569595216913,-0.025955539449630194,0.3866432337434095,FAIL
R003,63,5008,-0.0030584977810323285,-0.03314670057404934,0.4215255591054313,FAIL
R003,126,4839,-0.05590679003456386,-0.09780405397643899,0.3358131845422608,FAIL
R004,21,5466,-0.00934990986314794,-0.023086841743242492,0.39974387120380533,FAIL
R004,63,5034,-0.004707546917728692,-0.035352811690062325,0.41497814858959076,FAIL
R004,126,4817,-0.049911086428867886,-0.09580293618211799,0.34668881046294375,FAIL
