frequency,label,stress,metric,value,start_date,end_date,peak_date,trough_date
threshold_5pp,Threshold 5pp,subperiod_2010_2017,sharpe,0.9435402807047122,2010-01-01,2017-12-31,,
threshold_5pp,Threshold 5pp,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
threshold_5pp,Threshold 5pp,subperiod_2018_2026,cagr,0.15764317333110434,2018-01-01,2026-12-31,,
threshold_5pp,Threshold 5pp,subperiod_2018_2026,sharpe,1.2430964714109964,2018-01-01,2026-12-31,,
threshold_5pp,Threshold 5pp,subperiod_2018_2026,max_drawdown,-0.17621225116879924,2018-01-01,2026-12-31,,
threshold_10pp,Threshold 10pp,2020_covid_daily_mdd,daily_mdd,-0.18611935294971038,2020-02-01,2020-04-30,2020-02-20,2020-03-20
threshold_10pp,Threshold 10pp,2022_krw_return,calendar_year_return,-0.1646659710147257,2022-01-01,2022-12-31,,
threshold_10pp,Threshold 10pp,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11773902525995061,2010-01-04,2026-05-18,,
threshold_10pp,Threshold 10pp,subperiod_2010_2017,cagr,0.09005850869467369,2010-01-01,2017-12-31,,
threshold_10pp,Threshold 10pp,subperiod_2010_2017,sharpe,0.9481584396033049,2010-01-01,2017-12-31,,
threshold_10pp,Threshold 10pp,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
threshold_10pp,Threshold 10pp,subperiod_2018_2026,cagr,0.16263686417016787,2018-01-01,2026-12-31,,
threshold_10pp,Threshold 10pp,subperiod_2018_2026,sharpe,1.1724933731218556,2018-01-01,2026-12-31,,
threshold_10pp,Threshold 10pp,subperiod_2018_2026,max_drawdown,-0.18611935294971038,2018-01-01,2026-12-31,,
