frequency,label,average_portfolio_abs_drift_pp,max_component_abs_drift_pp,SPY_average_abs_drift_pp,SPY_max_abs_drift_pp,QQQ_average_abs_drift_pp,QQQ_max_abs_drift_pp,H001_average_abs_drift_pp,H001_max_abs_drift_pp,IEF_average_abs_drift_pp,IEF_max_abs_drift_pp
monthly,Monthly,1.5767069955421746,7.1422764436672725,0.3281859228540047,3.7081118469644627,0.33841431026537233,2.0218625453534314,0.3663354464777337,4.4529277880849785,0.543771315945064,7.1422764436672725
quarterly,Quarterly,2.8348484325602383,9.231467326560894,0.573207275240618,5.014336869233785,0.6635482584330354,3.0035479549482713,0.6147569506449969,7.919320725970702,0.9833359482415878,9.231467326560894
semiannual,Semiannual,3.6496442684259676,9.272358521677265,0.7747814217433286,4.989336467823572,0.8603351206472124,4.84982375518295,0.8387907724870479,7.9207482613744435,1.1757369535483781,9.272358521677265
annual,Annual,5.393897137065954,9.553492141803371,1.1680937786919148,5.653390364061855,1.4214757592792844,6.029128693695304,1.2225901740218545,7.920861492367065,1.5817374250729002,9.553492141803371
no_rebalance,No-rebalance,38.55746296672825,30.112473284072582,5.165609591006016,9.559275523748001,14.55266111401801,30.112473284072582,7.983032423772779,14.743819483832151,10.856159837931443,23.8027758622739
threshold_5pp,Threshold 5pp,6.357290106462253,4.9850359692151045,1.3048231420783551,4.698260031760188,1.7715396378827895,4.9850359692151045,1.58609301869218,4.949117391225891,1.6948343078089285,4.931041110147011
threshold_10pp,Threshold 10pp,12.881941167605104,9.998719574205245,3.213167180302217,8.959504192060164,3.5416898311987457,9.993511104041866,2.413196429632112,9.998719574205245,3.7138877264720294,9.913454430437737
