stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date
dot_com_proxy_2002_07_2003_12,proxy,p08_ief30_pre2010_us_core_proxy,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2002-07-30,2003-12-31,360,0.2798274908556464,0.18962092958967847,1.2883873831887764,0.14187627536882177,-0.11394245684063353,2002-08-22,2002-10-09,2002-11-05
gfc_proxy_2008_2009,proxy,p08_ief30_pre2010_us_core_proxy,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2008-01-02,2009-12-31,505,-0.033801480843922316,-0.01708079674493035,0.00022252447999783967,0.18587480387516356,-0.3126571229831321,2008-05-15,2009-03-09,
covid_2020_02_2020_03,exact,p08_ief30_exact,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.3000,2020-02-03,2020-03-31,42,-0.09037879452287578,-0.45501706544495757,-1.5972882240378008,0.3232813552881886,-0.19976845914706354,2020-02-17,2020-03-23,
rate_shock_2022,exact,p08_ief30_exact,SPY:0.2900;QQQ:0.2100;H001:0.2000;IEF:0.3000,2022-01-03,2022-12-30,260,-0.1836134839585798,-0.18556095596150646,-1.2758959189355743,0.14575678367513553,-0.21090117790013307,2022-01-03,2022-10-14,
