year,rows,tickers,volume_zero_or_na,volume_zero_pct,trade_value_zero_or_na,close_zero_or_na
2018,127606,532,914,0.72,914,0
2019,131993,546,976,0.74,976,0
2020,139751,571,1195,0.86,1195,0
2021,150338,616,1409,0.94,1409,0
2022,144608,591,654,0.45,654,0
2023,140703,583,1453,1.03,1453,0
2024,134209,559,849,0.63,849,0
