year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return
2015,0.0,0.1650129244213383,0.0
2017,0.0,0.316759538729966,0.0
2018,0.0,-0.08401784948302471,0.0
2019,0.025025812532251335,0.1701948593009439,0.0
