bbs_seq,event_id_in_v3,reg_dt,title,event_class,event_sub_class,attach_file_info,class_b_conflation_window,class_b_conflation_window_note,current_source_status_in_bx01,directive_status_for_this_phase
159,BX01-00159-SPECIAL,2010-01-22,KOSPI 200 구성종목 특별변경 공지(한국기술산업 관련),tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:6685|[보도자료]KOSPI 200 구성종목 특별변경 공지.hwp|201001221651006800.hwp|/board/kor/old/abk/nts//,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
160,BX01-00160-SPECIAL,2010-02-24,KOSPI 200 구성종목 특별변경 안내(변경일 : 2010.2.25 목),tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
164,BX01-00164-SPECIAL,2010-03-31," KOSPI 200, KRX Autos 특별변경",tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
173,BX01-00173-SPECIAL,2010-06-25,삼성생명보험(주)의 KOSPI200 등 6개 지수 특례편입,tier2_or_tier3_special_supplemental,special_inclusion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
192,BX01-00192-SPECIAL,2011-03-07,KOSPI 200 등 8개지수 특별변경 안내,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
194,BX01-00194-SPECIAL,2011-03-11,대구은행 상장폐지일정 변경에 따른 KOSPI200 등 주요지수 특별변경 일정 변경안내,tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
249,BX01-00249-SPECIAL,2012-12-12,KOSPI 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:1|KOSPI 200 등 지수 구성종목 특별변경(201212)(보도자료).hwp|1355293871964.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
253,BX01-00253-SPECIAL,2012-12-31,KOSPI 200 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:1|(보도자료)KOSPI 200 지수 구성종목 특별변경.hwp|1356915958473.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
260,BX01-00260-SPECIAL,2013-03-22,KOSPI 200 구성종목 특별변경 예고,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
261,BX01-00261-SPECIAL,2013-03-28,외환은행 상장폐지에 따른 KOSPI 200 등 지수 구성종목 특별변경 예고,tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
262,BX01-00262-SPECIAL,2013-04-02,KOSPI 200 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,"1:1|보도자료_KOSPI+200+구성종목+특별변경(알앤엘바이오,130402).hwp|1364860851989.hwp|/kor/dyn",pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
264,BX01-00264-SPECIAL,2013-04-18,KOSPI 200 등 지수 구성종목 특별변경 예고,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,"2:1|KOSPI 200 지수 구성종목 특별변경_외환은행(보도자료).hwp|1366267033275.hwp|/kor/dyn,2|KOSPI 200 지수 구성종목 특별변경_외환은행(보도자료).hwp|1366284805114.hwp|/kor/dyn",pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
265,BX01-00265-SPECIAL,2013-04-23,KOSPI 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:1|KOSPI 200 지수 구성종목 특별변경_외환은행(보도자료).hwp|1366708797023.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
271,BX01-00271-SPECIAL,2013-06-07,KOSPI 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:1|KOSPI 200 지수 등 구성종목 특별변경_STX팬오션(보도자료)_최종.hwp|1370596437496.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
274,BX01-00274-SPECIAL,2013-07-08,KOSPI 200 등 6개 주가지수 구성종목의 유동비율 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
280,BX01-00280-SPECIAL,2013-08-16,코스피 200 등 지수 구성종목 특별변경(STX조선해양의 관리종목지정),tier2_or_tier3_special_supplemental,special_deletion,1:1|(보도자료)KOSPI 200 등 지수 구성종목 특별변경.hwp|1376608542416.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
282,BX01-00282-SPECIAL,2013-08-29,KOSPI 200 등 지수 구성종목 특별변경(STX 관리종목지정),tier2_or_tier3_special_supplemental,special_deletion,1:1|보도자료_KOSPI200 등 지수 구성종목 특별변경.hwp|1377774680946.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
286,BX01-00286-SPECIAL,2013-09-30,KOSPI 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,"2:1|(보도자료)KOSPI 200 등 지수 구성종목 특별변경_동양.hwp|1380533377029.hwp|/kor/dyn,2|KRX indexes.docx|1382711362749.docx|/kor/dyn",pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
294,BX01-00294-SPECIAL,2014-02-10,코스피 200 등 지수 구성종목 특별변경 방법 개선,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,1:1|(붙임)지수 구성종목 특별변경 개선(20140210).hwp|1392018364271.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
300,BX01-00300-SPECIAL,2014-03-24,KOSPI 200 등 지수 구성종목 특별변경(STX엔진 관리종목지정),tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
301,BX01-00301-SPECIAL,2014-04-01,KOSPI 200 등 지수 구성종목 특별변경 확정 (STX엔진 관리종목지정 관련),tier2_or_tier3_special_supplemental,special_deletion,1:1|(140401)_(보도자료)KOSPI 200 등 지수 구성종목 특별변경.hwp|1396344196621.hwp|/kor/dyn,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
314,BX01-00314-SPECIAL,2014-06-27,KOSPI 200 등 지수 구성종목 특별변경 (제일모직 피흡수합병),tier2_or_tier3_special_supplemental,special_deletion,1:1|(140620)_(보도자료)KOSPI_200_등_지수_구성종목_특별변경.hwp|1403832711786.hwp|/board/idx/201406,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
319,BX01-00319-SPECIAL,2014-08-28,코스피200 구성종목의 기업분할시 특별변경 ,tier2_or_tier3_special_supplemental,special_split,1:1|(140828)_코스피200 구성종목의 기업분할시 특별변경.hwp|1409208478584.hwp|/board/idx/201408,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
330,BX01-00330-SPECIAL,2014-10-22,우리금융지주와 우리은행 합병에 따른 KOSPI 200 등 13개 지수 특별변경 안내,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
362,BX01-00362-SPECIAL,2014-12-16,신규상장종목의 코스피 200 특례편입제도 개선,tier2_or_tier3_special_supplemental,special_inclusion,1:1|141216_(보도자료) 신규상장종목의 코스피200 특례편입제도 개선.hwp|1418716090765.hwp|/board/idx/201412,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
367,BX01-00367-SPECIAL,2014-12-26,삼성에스디에스(주)의 KOSPI200 등 4개 지수 특례편입,tier2_or_tier3_special_supplemental,special_inclusion,1:1|141226_(보도자료) 삼성에스디에스 KOSPI200 등 특례편입.hwp|1419582801451.hwp|/board/idx/201412,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
368,BX01-00368-SPECIAL,2015-01-12,제일모직(주)의 KOSPI200 등 4개 지수 특례편입,tier2_or_tier3_special_supplemental,special_inclusion,"2:1|150112_(보도자료) 제일모직 KOSPI200 등 특례편입.pdf|1421047302210.pdf|/board/idx/201501,2|150112_(보도자료) 제일모직 KOSPI200 등 특례편입.hwp|1421047302213.hwp|/board/idx/201501",pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
381,BX01-00381-SPECIAL,2015-03-26,코스피 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
397,BX01-00397-SPECIAL,2015-06-22,코스피 200 등 구성종목 특별변경(현대하이스코 피흡수합병) ,tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
407,BX01-00407-SPECIAL,2015-07-27,코스피200 등 구성종목 특별변경(SK 피흡수합병) 재공지,tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
409,BX01-00409-SPECIAL,2015-08-18,코스피 200 등 구성종목 특별변경(삼성물산 피흡수합병),tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
410,BX01-00410-SPECIAL,2015-08-19,코스피 200 필수소비재 구성종목 특별변경 ,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
450,BX01-00450-SPECIAL,2016-03-11,코스피 200 등 지수 구성종목 특별변경,tier2_or_tier3_special_supplemental,special_change_pre_2017_naming,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
480,BX01-00480-SPECIAL,2016-10-12,KB금융과 현대증권의 주식교환에 따른 KOSPI 200 지수 등 구성종목 수시변경 및 지수조치 안내,tier2_or_tier3_special_supplemental,supplemental_intra_period_change,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
484,BX01-00484-SPECIAL,2016-10-28,대우조선해양 관련 KOSPI 200 지수 등 구성종목 수시변경 안내,tier2_or_tier3_special_supplemental,supplemental_intra_period_change,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
493,BX01-00493-SPECIAL,2016-12-14,KOSPI 200 구성종목 간 합병에 따른 수시변경 및 지수조치 안내,tier2_or_tier3_special_supplemental,supplemental_intra_period_change,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
505,BX01-00505-SPECIAL,2017-03-30,코스피 200 등 지수 구성종목 수시변경(대우조선해양 관리종목 지정),tier2_or_tier3_special_supplemental,special_deletion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
509,BX01-00509-SPECIAL,2017-05-23,(주)오리온 및 제일약품(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
519,BX01-00519-SPECIAL,2017-07-28,카카오 이전상장에 따른 코스피 200 등 지수 특례편입,tier2_or_tier3_special_supplemental,special_inclusion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
525,BX01-00525-SPECIAL,2017-10-24,(주)BGF리테일 및 동아타이어공업(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
527,BX01-00527-SPECIAL,2017-11-21,SK케미칼(주) 및 쿠쿠전자(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
544,BX01-00544-SPECIAL,2018-03-06,셀트리온 이전상장에 따른 코스피 200 등 지수 특례편입,tier2_or_tier3_special_supplemental,special_inclusion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
547,BX01-00547-SPECIAL,2018-03-07,셀트리온 코스피 200 등 특례편입 관련 가중치 및 CAP 수시조정,tier2_or_tier3_special_supplemental,special_inclusion,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
553,BX01-00553-SPECIAL,2018-04-20,현대산업개발의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
554,BX01-00554-SPECIAL,2018-05-23,효성의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
569,BX01-00569-SPECIAL,2018-06-21,한일시멘트 인적분할에 따른 KOSPI 200 수시변경 안내 ,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
578,BX01-00578-SPECIAL,2018-08-23,세아제강의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
593,BX01-00593-SPECIAL,2018-12-06,[재공지] 세아제강의 인적분할에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_split,0:,pre-2021-06,before_any_class_b_cycle_window,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
759,BX01-00759-SPECIAL,2021-08-31,크래프톤 신규상장에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2021-12,falls_inside_regular_cycle_window_2021-06_to_2021-12,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
758,BX01-00758-SPECIAL,2021-08-31,카카오뱅크 신규상장에 따른 KOSPI 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2021-12,falls_inside_regular_cycle_window_2021-06_to_2021-12,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
773,BX01-00773-SPECIAL,2021-11-24,카카오페이 신규상장에 따른 코스피200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2021-12,falls_inside_regular_cycle_window_2021-06_to_2021-12,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
789,BX01-00789-SPECIAL,2022-02-22,LG에너지솔루션 신규상장에 따른 코스피200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2022-06,falls_inside_regular_cycle_window_2021-12_to_2022-06,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
907,BX01-00907-SPECIAL,2023-12-08,에코프로머티 신규상장에 따른 코스피200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2024-06,falls_inside_regular_cycle_window_2023-12_to_2024-06,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
921,BX01-00921-SPECIAL,2024-01-23,포스코DX 이전상장에 따른 코스피 200 등 수시변경 안내,tier2_or_tier3_special_supplemental,special_inclusion,0:,2024-06,falls_inside_regular_cycle_window_2023-12_to_2024-06,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
1020,BX01-01020-SPECIAL,2025-06-04,코스피 200 ESG 지수 수시변경 안내,tier2_or_tier3_special_supplemental,supplemental_intra_period_change,0:,2025-12,falls_inside_regular_cycle_window_2025-06_to_2025-12,notice_metadata_only_no_constituent_parse,target_for_structured_source_acquisition_attempt
