date,cash,mtm_value,gross_value,net_value,n_positions
2024-05-30,-0.0053128914703480246,0.6391498165644816,0.6338369250941336,0.6338369250941336,5
2024-05-31,-0.004611043730296069,0.6339578234099899,0.6293467796796938,0.6293467796796938,5
2024-06-03,-0.008459335011234914,0.634018791131145,0.62555945611991,0.62555945611991,5
2024-06-04,-0.008459335011234914,0.6242530245026509,0.615793689491416,0.615793689491416,5
2024-06-05,-0.017781578408405163,0.6424281824807858,0.6246466040723806,0.6246466040723806,5
2024-06-07,-0.019101285405674004,0.64428878662207,0.625187501216396,0.625187501216396,5
2024-06-10,-0.019101285405674004,0.6449182478918135,0.6258169624861395,0.6258169624861395,5
2024-06-11,-0.019101285405674004,0.6557033340475862,0.6366020486419122,0.6366020486419122,5
2024-06-12,-0.019101285405674004,0.6855381377679779,0.6664368523623039,0.6664368523623039,5
2024-06-13,-0.019101285405674004,0.7113893533053955,0.6922880678997215,0.6922880678997215,5
2024-06-14,-0.019101285405674004,0.7121991719795261,0.6930978865738521,0.6930978865738521,5
2024-06-17,-0.019101285405674004,0.6882851082217722,0.6691838228160982,0.6691838228160982,5
2024-06-18,-0.019101285405674004,0.7011386625985501,0.682037377192876,0.682037377192876,5
2024-06-19,-0.019101285405674004,0.678914939729238,0.659813654323564,0.659813654323564,5
2024-06-20,0.125992160266266,0.5198795596836172,0.6458717199498832,0.6458717199498832,4
2024-06-21,-0.005217932712381329,0.662547111147167,0.6573291784347857,0.6573291784347857,5
2024-06-24,-0.005217932712381329,0.646718894155498,0.6415009614431166,0.6415009614431166,5
2024-06-25,-0.005217932712381329,0.6416722305104164,0.6364542977980351,0.6364542977980351,5
2024-06-26,-0.005217932712381329,0.6513633463263271,0.6461454136139457,0.6461454136139457,5
2024-06-27,-0.005217932712381329,0.6452603204534706,0.6400423877410892,0.6400423877410892,5
2024-06-28,-0.015948060507723738,0.6459709239969214,0.6300228634891976,0.6300228634891976,5
2024-07-01,-0.015948060507723738,0.6282057237107403,0.6122576632030166,0.6122576632030166,5
2024-07-02,-0.015948060507723738,0.6092575306565461,0.5933094701488224,0.5933094701488224,5
2024-07-03,-0.008690574166779597,0.6035648295631495,0.59487425539637,0.59487425539637,5
2024-07-04,0.228460030264585,0.36559035805183165,0.5940503883164167,0.5940503883164167,3
2024-07-05,0.11438678057500015,0.4836378482058814,0.5980246287808816,0.5980246287808816,4
2024-07-08,-0.005176473477128102,0.5974810242149473,0.5923045507378192,0.5923045507378192,5
2024-07-09,-0.005176473477128102,0.59884151323553,0.5936650397584019,0.5936650397584019,5
2024-07-10,-0.005176473477128102,0.5995908134170282,0.5944143399399001,0.5944143399399001,5
2024-07-11,-0.005176473477128102,0.6140978452040841,0.6089213717269559,0.6089213717269559,5
2024-07-12,-0.005176473477128102,0.6100697513386085,0.6048932778614804,0.6048932778614804,5
2024-07-15,-0.005176473477128102,0.6110391850580619,0.6058627115809337,0.6058627115809337,5
2024-07-16,-0.015498200901781181,0.6292337864097314,0.6137355855079502,0.6137355855079502,5
2024-07-17,-0.015498200901781181,0.6359972342505956,0.6204990333488144,0.6204990333488144,5
2024-07-18,-0.015498200901781181,0.6315809986205445,0.6160827977187633,0.6160827977187633,5
2024-07-19,-0.015498200901781181,0.6279556877463448,0.6124574868445636,0.6124574868445636,5
2024-07-22,-0.015498200901781181,0.6230962939148176,0.6075980930130364,0.6075980930130364,5
2024-07-23,-0.015498200901781181,0.6222111112719616,0.6067129103701804,0.6067129103701804,5
2024-07-24,-0.015498200901781181,0.6267769097393252,0.611278708837544,0.611278708837544,5
2024-07-25,-0.015498200901781181,0.6124309818384127,0.5969327809366315,0.5969327809366315,5
2024-07-26,-0.029179927347184054,0.6505348330743447,0.6213549057271606,0.6213549057271606,5
2024-07-29,-0.029179927347184054,0.6584130356819632,0.6292331083347791,0.6292331083347791,5
2024-07-30,-0.029179927347184054,0.66005878423011,0.630878856882926,0.630878856882926,5
2024-07-31,0.23944029690210458,0.3929140170005388,0.6323543139026434,0.6323543139026434,3
2024-08-01,-0.015420047634981476,0.6493367845855215,0.63391673695054,0.63391673695054,5
2024-08-02,0.10894549107316746,0.5113262919251172,0.6202717829982847,0.6202717829982847,4
2024-08-05,-0.00884632313899944,0.5943091660284537,0.5854628428894543,0.5854628428894543,5
2024-08-06,0.0002418892422517971,0.6056290868868326,0.6058709761290844,0.6058709761290844,5
2024-08-07,0.0002418892422517971,0.6007718845340106,0.6010137737762624,0.6010137737762624,5
2024-08-08,0.0002418892422517971,0.6140852483637352,0.614327137605987,0.614327137605987,5
2024-08-09,0.0002418892422517971,0.6311094436457619,0.6313513328880137,0.6313513328880137,5
2024-08-12,0.0002418892422517971,0.6419920491394637,0.6422339383817155,0.6422339383817155,5
2024-08-13,0.1376113618846243,0.48987638345863227,0.6274877453432566,0.6274877453432566,4
2024-08-14,0.009080142978106609,0.632447819244431,0.6415279622225376,0.6415279622225376,5
2024-08-16,0.009080142978106609,0.6292988208197445,0.6383789637978512,0.6383789637978512,5
2024-08-19,0.009080142978106609,0.6245735187920037,0.6336536617701103,0.6336536617701103,5
2024-08-20,0.009080142978106609,0.6209494153747133,0.6300295583528199,0.6300295583528199,5
2024-08-21,0.009080142978106609,0.6272902212123267,0.6363703641904332,0.6363703641904332,5
2024-08-22,0.009080142978106609,0.6451152651752127,0.6541954081533192,0.6541954081533192,5
2024-08-23,0.009080142978106609,0.6475882005058552,0.6566683434839617,0.6566683434839617,5
2024-08-26,0.009080142978106609,0.6423104039217238,0.6513905468998304,0.6513905468998304,5
2024-08-27,0.009080142978106609,0.6470528891804407,0.6561330321585472,0.6561330321585472,5
2024-08-28,0.009080142978106609,0.6357778276197079,0.6448579705978146,0.6448579705978146,5
2024-08-29,0.009080142978106609,0.638698540913565,0.6477786838916717,0.6477786838916717,5
2024-08-30,0.009080142978106609,0.6412864855960266,0.6503666285741332,0.6503666285741332,5
2024-09-02,0.009080142978106609,0.6641938336169394,0.673273976595046,0.673273976595046,5
2024-09-03,0.13546631558197336,0.5433117600145126,0.6787780755964861,0.6787780755964861,4
2024-09-04,0.3981624317927555,0.27241560554999505,0.6705780373427506,0.6705780373427506,2
2024-09-05,-0.01100669802006421,0.6963283665257689,0.6853216685057046,0.6853216685057046,5
2024-09-06,-0.01100669802006421,0.6854910978995664,0.6744843998795023,0.6744843998795023,5
2024-09-09,-0.01100669802006421,0.6852393359497825,0.6742326379297183,0.6742326379297183,5
2024-09-10,-0.01100669802006421,0.682070415063996,0.6710637170439318,0.6710637170439318,5
2024-09-11,-0.01835388713183901,0.6859312244296657,0.6675773372978266,0.6675773372978266,5
2024-09-12,0.11926142101752892,0.5551753231909594,0.6744367442084883,0.6744367442084883,4
2024-09-13,-0.01612239171770509,0.6849721243704177,0.6688497326527125,0.6688497326527125,5
2024-09-19,-0.01612239171770509,0.6935965927826931,0.677474201064988,0.677474201064988,5
2024-09-20,-0.01612239171770509,0.6865585665030897,0.6704361747853845,0.6704361747853845,5
2024-09-23,-0.02381185064998527,0.6921715579304086,0.6683597072804234,0.6683597072804234,5
2024-09-24,-0.02381185064998527,0.7060080074864175,0.6821961568364322,0.6821961568364322,5
2024-09-25,-0.02381185064998527,0.6871164473926131,0.6633045967426279,0.6633045967426279,5
2024-09-26,-0.02381185064998527,0.6925645426336611,0.6687526919836758,0.6687526919836758,5
2024-09-27,-0.02381185064998527,0.6892934186789678,0.6654815680289825,0.6654815680289825,5
2024-09-30,-0.02381185064998527,0.6794415654484939,0.6556297147985086,0.6556297147985086,5
2024-10-02,-0.028964493259370436,0.6715394400840664,0.642574946824696,0.642574946824696,5
2024-10-04,-0.028964493259370436,0.6636312810624383,0.6346667878030678,0.6346667878030678,5
2024-10-07,-0.039955556209674364,0.6773640753681901,0.6374085191585157,0.6374085191585157,5
2024-10-08,-0.039955556209674364,0.6792649966069535,0.6393094403972791,0.6393094403972791,5
2024-10-10,0.09607938446375806,0.5533767771841032,0.6494561616478612,0.6494561616478612,4
2024-10-11,0.23833527543412378,0.397840582617409,0.6361758580515328,0.6361758580515328,3
2024-10-14,-0.017211501566399973,0.6605133526863392,0.6433018511199392,0.6433018511199392,5
2024-10-15,-0.017211501566399973,0.6611651326448305,0.6439536310784305,0.6439536310784305,5
2024-10-16,-0.017211501566399973,0.6565328071745186,0.6393213056081186,0.6393213056081186,5
2024-10-17,0.11848526325360943,0.5254259209256654,0.6439111841792748,0.6439111841792748,4
2024-10-18,-0.010869131716047323,0.6567259175639868,0.6458567858479395,0.6458567858479395,5
2024-10-21,-0.010869131716047323,0.6529918747063423,0.642122742990295,0.642122742990295,5
2024-10-22,-0.010869131716047323,0.6508913308772372,0.6400221991611899,0.6400221991611899,5
2024-10-23,-0.010869131716047323,0.6402680226902114,0.6293988909741641,0.6293988909741641,5
2024-10-24,-0.010869131716047323,0.6443968486216309,0.6335277169055836,0.6335277169055836,5
2024-10-25,-0.010869131716047323,0.6382782905785527,0.6274091588625054,0.6274091588625054,5
2024-10-28,-0.010869131716047323,0.6415123804241001,0.6306432487080528,0.6306432487080528,5
2024-10-29,-0.010869131716047323,0.6397871156635875,0.6289179839475402,0.6289179839475402,5
2024-10-30,-0.010869131716047323,0.6373752536280735,0.6265061219120261,0.6265061219120261,5
2024-10-31,-0.010869131716047323,0.647272282284804,0.6364031505687567,0.6364031505687567,5
2024-11-01,-0.010869131716047323,0.641875141616546,0.6310060099004987,0.6310060099004987,5
2024-11-04,-0.010869131716047323,0.6539228039918533,0.643053672275806,0.643053672275806,5
2024-11-05,0.11885963718455245,0.5232765276638169,0.6421361648483694,0.6421361648483694,4
2024-11-06,-0.012236148814129488,0.6669075654715996,0.6546714166574701,0.6546714166574701,5
2024-11-07,-0.012236148814129488,0.6687764279878409,0.6565402791737114,0.6565402791737114,5
2024-11-08,0.11069104333106107,0.5316999512277121,0.6423909945587731,0.6423909945587731,4
