signal_date,sector_code,sector_name,n_stocks,n_foreign_positive,n_relative_strength_positive,n_strict_positive,sector_breadth_value,sector_breadth_strict,breadth_score,eligible_for_score
2010-03-31,01,반도체/IT하드웨어,11,8,7,7,0.7272727272727273,0.6363636363636364,2.119653014395634,True
2010-03-31,02,자동차/운송장비,9,5,5,3,0.5555555555555556,0.3333333333333333,0.47600623691076827,True
2010-03-31,03,2차전지/화학/소재,13,6,5,2,0.46153846153846156,0.15384615384615385,-0.49753839283026746,True
2010-03-31,04,철강금속,5,3,1,1,0.6,0.2,-0.2471983451825725,True
2010-03-31,05,조선/기계/산업재,9,6,7,4,0.6666666666666666,0.4444444444444444,1.0786767219885525,True
2010-03-31,06,금융,17,3,5,0,0.17647058823529413,0.0,-1.332005218322584,True
2010-03-31,07,헬스케어,4,0,2,0,0.0,0.0,-1.332005218322584,True
2010-03-31,08,인터넷/게임/SW,12,8,4,2,0.6666666666666666,0.16666666666666666,-0.4279994907059078,True
2010-03-31,09,소비재/유통,10,4,3,1,0.4,0.1,-0.7896017817525782,True
2010-03-31,10,음식료,3,2,2,1,0.6666666666666666,0.3333333333333333,0.47600623691076827,True
2010-03-31,11,에너지/유틸리티,1,1,0,0,1.0,,,False
2010-03-31,12,건설/부동산,6,4,2,2,0.6666666666666666,0.3333333333333333,0.47600623691076827,True
2010-06-30,01,반도체/IT하드웨어,12,3,3,0,0.25,0.0,-1.7331713614456605,True
2010-06-30,02,자동차/운송장비,9,4,7,3,0.4444444444444444,0.3333333333333333,-0.11007895908329393,True
2010-06-30,03,2차전지/화학/소재,20,6,15,6,0.3,0.3,-0.27238819931953057,True
2010-06-30,04,철강금속,4,3,2,1,0.75,0.25,-0.5158520596738855,True
2010-06-30,05,조선/기계/산업재,9,5,8,5,0.5555555555555556,0.5555555555555556,0.9719826424916174,True
2010-06-30,06,금융,15,10,7,7,0.6666666666666666,0.4666666666666667,0.5391580018616529,True
2010-06-30,07,헬스케어,2,2,2,2,1.0,,,False
2010-06-30,08,인터넷/게임/SW,13,5,6,2,0.38461538461538464,0.15384615384615385,-0.9840517911245681,True
2010-06-30,09,소비재/유통,6,3,5,3,0.5,0.5,0.7014672420978895,True
2010-06-30,10,음식료,4,2,2,1,0.5,0.25,-0.5158520596738855,True
2010-06-30,11,에너지/유틸리티,2,1,0,0,0.5,,,False
2010-06-30,12,건설/부동산,4,3,3,3,0.75,0.75,1.9187865438696645,True
2010-09-30,01,반도체/IT하드웨어,10,3,2,1,0.3,0.1,-1.428371630355203,True
2010-09-30,02,자동차/운송장비,8,6,8,6,0.75,0.75,1.8558676307008037,True
2010-09-30,03,2차전지/화학/소재,16,10,7,6,0.625,0.375,-0.03888578913920005,True
2010-09-30,04,철강금속,5,2,4,1,0.4,0.2,-0.9231040517312017,True
2010-09-30,05,조선/기계/산업재,10,5,8,5,0.5,0.5,0.5926986841408012,True
2010-09-30,06,금융,17,8,6,4,0.47058823529411764,0.23529411764705882,-0.7447743180992015,True
2010-09-30,07,헬스케어,2,2,0,0,1.0,,,False
2010-09-30,08,인터넷/게임/SW,12,7,3,2,0.5833333333333334,0.16666666666666666,-1.091526577939202,True
2010-09-30,09,소비재/유통,10,5,6,4,0.5,0.4,0.0874311055168003,True
2010-09-30,10,음식료,4,3,3,2,0.75,0.5,0.5926986841408012,True
2010-09-30,11,에너지/유틸리티,1,1,0,0,1.0,,,False
2010-09-30,12,건설/부동산,5,4,4,3,0.8,0.6,1.0979662627648021,True
2010-12-30,01,반도체/IT하드웨어,8,7,3,2,0.875,0.25,-0.35456050423851737,True
2010-12-30,02,자동차/운송장비,9,6,5,3,0.6666666666666666,0.3333333333333333,0.4165916440813934,True
2010-12-30,03,2차전지/화학/소재,14,10,5,5,0.7142857142857143,0.35714285714285715,0.6369208293156539,True
2010-12-30,04,철강금속,5,3,3,2,0.6,0.4,1.0335133627373225,True
2010-12-30,05,조선/기계/산업재,13,5,5,2,0.38461538461538464,0.15384615384615385,-1.2443514446076451,True
2010-12-30,06,금융,20,11,15,7,0.55,0.35,0.5708220737453755,True
2010-12-30,07,헬스케어,1,1,0,0,1.0,,,False
2010-12-30,08,인터넷/게임/SW,13,6,2,1,0.46153846153846156,0.07692307692307693,-1.9561841969029476,True
2010-12-30,09,소비재/유통,7,4,4,3,0.5714285714285714,0.42857142857142855,1.2979083850184343,True
2010-12-30,10,음식료,2,1,1,0,0.5,,,False
2010-12-30,11,에너지/유틸리티,3,1,2,1,0.3333333333333333,0.3333333333333333,0.4165916440813934,True
2010-12-30,12,건설/부동산,5,1,3,1,0.2,0.2,-0.8172517932304638,True
2011-03-31,01,반도체/IT하드웨어,8,5,2,0,0.625,0.0,-1.2488439431443454,True
2011-03-31,02,자동차/운송장비,8,4,6,4,0.5,0.5,1.099996629852869,True
2011-03-31,03,2차전지/화학/소재,19,10,16,8,0.5263157894736842,0.42105263157894735,0.7291270656954139,True
2011-03-31,04,철강금속,6,2,5,2,0.3333333333333333,0.3333333333333333,0.3170497721871307,True
2011-03-31,05,조선/기계/산업재,10,1,4,0,0.1,0.0,-1.2488439431443454,True
2011-03-31,06,금융,18,8,6,4,0.4444444444444444,0.2222222222222222,-0.20491479959002798,True
2011-03-31,07,헬스케어,2,0,0,0,0.0,,,False
2011-03-31,08,인터넷/게임/SW,11,5,5,1,0.45454545454545453,0.09090909090909091,-0.8217820207812155,True
