variant,verdict,rank_ic_mean,spread_t_stat,cumulative_net_total_return,sharpe,max_drawdown,trade_count
E003_A_d013_replication,BASELINE,,,2.5457702903350135,0.5333654677635088,-0.3392346174957135,110
E004_flow_top3,FAIL,0.0039244908097367,-0.7685649834695819,,,,
E005_rs_top3,PASS,0.155464480874317,3.0783397032798763,1.763273164997528,0.3732257697380196,-0.45803378557762275,110
E006_flow_plus_rs_top3,PASS,0.0706053509332197,2.251487207038308,1.6042647247607862,0.35325542427251233,-0.44655883164336885,110
E007_flow_rs_breadth_top3,PASS,0.08828684976225963,2.543301685957553,2.3200922451001436,0.48218421304767917,-0.3968185249283369,110
