rcept_no,parse_status,body_text_len,n_label_hits
20141202800055,no_label_match,501,0
20141119800504,no_label_match,499,0
20141028800440,label_no_value,352,1
20141016800381,label_no_value,362,1
20141016800022,label_no_value,358,1
20150330902002,no_label_match,464,0
20150324900908,no_label_match,380,0
20150311800005,label_no_value,282,1
20150213801013,label_no_value,348,1
20150213800790,no_label_match,877,0
20150121900503,no_label_match,709,0
20150629900745,no_label_match,700,0
20150601900639,no_label_match,457,0
20150924900510,no_label_match,644,0
20150922800445,label_no_value,451,1
20150916900453,no_label_match,272,0
20150916900361,no_label_match,250,0
20150916900426,no_label_match,559,0
20150828800194,no_label_match,341,0
20150824900384,no_label_match,377,0
20150821800117,label_no_value,296,1
20150818900268,no_label_match,588,0
20150813901583,no_label_match,764,0
20150721800360,label_no_value,305,1
20150716900491,no_label_match,1106,0
20151230900423,no_label_match,1033,0
20151224900669,no_label_match,859,0
20151222900044,no_label_match,1150,0
20151113800478,label_no_value,271,1
20151111800225,label_no_value,310,1
20151110900538,no_label_match,1070,0
20151105900096,no_label_match,888,0
20151103900363,no_label_match,1130,0
20151102800002,label_no_value,440,1
20151016900523,no_label_match,868,0
20151016900496,no_label_match,923,0
20151016900419,no_label_match,1018,0
20160329801661,label_no_value,285,1
20160328801000,label_no_value,294,1
20160325800036,label_no_value,282,1
20160318901158,no_label_match,701,0
20160317900050,no_label_match,1181,0
20160309800063,no_label_match,355,0
20160229800843,label_no_value,283,1
20160223900750,no_label_match,528,0
20160223900555,no_label_match,1209,0
20160216800017,label_no_value,292,1
20160203800643,no_label_match,902,0
20160128800663,label_no_value,281,1
20160118800004,label_no_value,277,1
20160115900561,no_label_match,665,0
20160630900741,no_label_match,703,0
20160623900401,no_label_match,730,0
20160623900170,no_label_match,926,0
20160621900465,no_label_match,959,0
20160620900407,no_label_match,1543,0
20160617900526,no_label_match,983,0
20160617900271,no_label_match,993,0
20160615800007,label_no_value,291,1
20160610900439,no_label_match,1162,0
20160608900550,no_label_match,835,0
20160608900502,no_label_match,697,0
20160608900133,no_label_match,1086,0
20160420900491,no_label_match,831,0
20160411900577,no_label_match,1004,0
20160407900312,no_label_match,349,0
20160406900327,no_label_match,349,0
20160928800464,label_no_value,303,1
20160920900517,no_label_match,1012,0
20160913900530,no_label_match,942,0
20160905900555,no_label_match,252,0
20160902900605,no_label_match,783,0
20160830800195,label_no_value,276,1
20160825900005,no_label_match,769,0
20160824800424,no_label_match,654,0
20160824900348,no_label_match,846,0
20160823900224,no_label_match,764,0
20160819900245,no_label_match,1207,0
20160816901177,no_label_match,710,0
20160810900472,no_label_match,893,0
20160728900432,no_label_match,962,0
20160727900151,no_label_match,1290,0
20160722900594,no_label_match,259,0
20160722800132,label_no_value,271,1
20160719900381,no_label_match,1186,0
20160714800467,label_no_value,308,1
20160712900393,no_label_match,896,0
20160712900028,no_label_match,939,0
20160708900608,no_label_match,945,0
20160708900528,no_label_match,896,0
20161230900338,no_label_match,834,0
20161230900050,no_label_match,746,0
20161223900655,no_label_match,473,0
20161223900554,no_label_match,1534,0
20161216901130,no_label_match,1223,0
20161209900686,no_label_match,1158,0
20161202900560,no_label_match,836,0
20161202900343,no_label_match,620,0
20161201900387,no_label_match,847,0
20161130900671,no_label_match,247,0
20161118900562,no_label_match,364,0
20161115600200,no_label_match,1056,0
20161107900541,no_label_match,517,0
20161107900539,no_label_match,924,0
20161107900529,no_label_match,1148,0
20161107900225,no_label_match,490,0
20161107900224,no_label_match,606,0
20161021900412,no_label_match,1103,0
20161014900549,no_label_match,990,0
20170331904325,no_label_match,1065,0
20170330902197,no_label_match,883,0
20170330900027,no_label_match,1005,0
20170329800895,label_no_value,288,1
20170328600155,no_label_match,837,0
20170328900023,no_label_match,982,0
20170324903183,no_label_match,1082,0
20170324900142,no_label_match,742,0
20170317901290,no_label_match,1276,0
20170317901127,no_label_match,890,0
20170316800464,label_no_value,293,1
20170316800463,label_no_value,293,1
20170316800453,label_no_value,293,1
20170316800461,label_no_value,293,1
20170313900003,no_label_match,1904,0
20170307901172,no_label_match,947,0
20170303900267,no_label_match,1291,0
20170228900001,no_label_match,1139,0
20170224901042,no_label_match,1710,0
20170221900429,no_label_match,1124,0
20170206900924,no_label_match,801,0
20170206800861,label_no_value,277,1
20170202800150,label_no_value,273,1
20170118900479,no_label_match,784,0
20170103900244,no_label_match,934,0
20170623600597,no_label_match,405,0
20170614900479,no_label_match,257,0
20170614900451,no_label_match,1060,0
20170608900256,no_label_match,1142,0
20170602900364,no_label_match,960,0
20170524900445,no_label_match,1266,0
20170522900423,no_label_match,953,0
20170516900336,no_label_match,883,0
20170511900780,no_label_match,1225,0
20170511900736,no_label_match,821,0
20170428900638,no_label_match,771,0
20170424900021,no_label_match,1353,0
20170418900142,no_label_match,948,0
20170418900001,no_label_match,486,0
20170410900002,no_label_match,921,0
20170929901063,no_label_match,755,0
20170928900241,no_label_match,904,0
20170927900535,no_label_match,773,0
20170925900298,no_label_match,812,0
20170920900002,no_label_match,891,0
20170914900503,no_label_match,983,0
20170913900492,no_label_match,478,0
20170911900547,no_label_match,1580,0
20170911900505,no_label_match,1474,0
20170901900001,no_label_match,1364,0
20170830900609,no_label_match,248,0
20170825900539,no_label_match,839,0
20170823900521,no_label_match,786,0
20170823900263,no_label_match,999,0
20170821900510,no_label_match,961,0
20170817900425,no_label_match,953,0
20170817900414,no_label_match,251,0
20170816900433,no_label_match,980,0
20170814902529,no_label_match,457,0
20170814902451,no_label_match,1216,0
20170814802418,label_no_value,294,1
20170814802417,label_no_value,315,1
20170814900986,no_label_match,803,0
20170811600969,no_label_match,408,0
20170801900561,no_label_match,246,0
20170721900480,no_label_match,1381,0
20171228900602,no_label_match,1008,0
20171228900531,no_label_match,198,0
20171214901153,no_label_match,734,0
20171211900720,no_label_match,1339,0
20171207900718,no_label_match,1188,0
20171201900713,no_label_match,2046,0
20171201900536,no_label_match,1092,0
20171123900463,no_label_match,893,0
20171116900560,no_label_match,1077,0
20171110900740,no_label_match,526,0
20171031900726,no_label_match,1974,0
20171031900005,no_label_match,1558,0
20171025900001,no_label_match,783,0
20171023900334,no_label_match,1302,0
20171023900316,no_label_match,696,0
20171012900412,no_label_match,968,0
20171011800012,label_no_value,324,1
20171010900820,no_label_match,753,0
20230926900835,no_label_match,901,0
20230925900742,no_label_match,721,0
20230925800473,label_no_value,286,1
20230921900232,no_label_match,904,0
20230801900584,no_label_match,359,0
20230731900774,no_label_match,906,0
20230728900554,no_label_match,1353,0
20230717800694,label_no_value,512,1
20230717800369,label_no_value,310,1
20230710900723,no_label_match,620,0
20230706800002,label_no_value,304,1
20230704900802,no_label_match,723,0
20230330902733,no_label_match,1010,0
20230323902233,no_label_match,841,0
20230323902240,no_label_match,1307,0
20230323902202,no_label_match,929,0
20230317901390,no_label_match,621,0
20230303600996,no_label_match,444,0
20230228901850,no_label_match,1571,0
20230208900279,no_label_match,1313,0
20230131900882,no_label_match,931,0
20230104900527,no_label_match,628,0
20220628900767,no_label_match,864,0
20220614900585,no_label_match,629,0
20220602600271,no_label_match,605,0
20220518900051,no_label_match,950,0
20220516902752,no_label_match,1343,0
20220516902701,no_label_match,622,0
20220516800004,label_no_value,284,1
20220504800734,no_label_match,737,0
20220504900696,no_label_match,363,0
20220413600662,no_label_match,530,0
20220413900630,no_label_match,645,0
20220407900811,no_label_match,981,0
20190325800031,label_no_value,281,1
20190321801662,label_no_value,281,1
20190312901591,no_label_match,731,0
20190225601281,no_label_match,605,0
20190215600882,no_label_match,299,0
20190118900142,no_label_match,589,0
20190116900624,no_label_match,592,0
20200619900301,no_label_match,415,0
20200617900299,no_label_match,611,0
20200605900661,no_label_match,673,0
20200604600514,no_label_match,620,0
20200513900646,no_label_match,619,0
20200512900593,no_label_match,1764,0
20200511900737,no_label_match,587,0
20200508900774,no_label_match,738,0
20200508900768,no_label_match,610,0
20200424900653,no_label_match,202,0
20200421900648,no_label_match,211,0
20200403901226,no_label_match,565,0
20200403901208,no_label_match,777,0
20210630901020,no_label_match,1183,0
20210628600405,no_label_match,249,0
20210623900613,no_label_match,1008,0
20210601900636,no_label_match,1412,0
20210526800582,label_no_value,300,1
20210526800583,label_no_value,305,1
20210526800297,label_no_value,298,1
20210526800293,label_no_value,302,1
20210510900621,no_label_match,1206,0
20210507900430,no_label_match,1301,0
20210430901247,no_label_match,1731,0
20210430901246,no_label_match,1324,0
20210430900254,label_no_value,966,1
20210415800571,no_label_match,681,0
20210414900713,no_label_match,439,0
20180514901039,no_label_match,455,0
20240925900414,no_label_match,962,0
20240826900478,no_label_match,630,0
20240807600649,no_label_match,427,0
20240716900712,no_label_match,621,0
20240712900647,no_label_match,622,0
20220329602726,no_label_match,409,0
20220329900853,no_label_match,908,0
20220324601265,no_label_match,392,0
20220324900485,no_label_match,616,0
20220323902067,no_label_match,853,0
20220322901678,no_label_match,1303,0
20220321902149,no_label_match,1215,0
20220316602291,no_label_match,416,0
20220315902104,no_label_match,1001,0
20220211901294,no_label_match,1854,0
20220207801322,no_label_match,561,0
20220121900783,no_label_match,1337,0
20220106900564,no_label_match,1349,0
20250910800517,label_no_value,349,1
20250828900164,no_label_match,616,0
20250828900161,no_label_match,620,0
20250828800064,no_label_match,598,0
20250826900602,no_label_match,645,0
20250814903877,no_label_match,522,0
20250814903851,no_label_match,900,0
20250814902531,no_label_match,515,0
20250812900652,no_label_match,1441,0
20250807900568,no_label_match,651,0
20250807900523,no_label_match,623,0
20250711900548,no_label_match,367,0
20250702800680,label_no_value,360,1
20250702800678,label_no_value,348,1
20250701900651,no_label_match,634,0
20180328801835,label_no_value,278,1
20180327801328,label_no_value,281,1
20180319800082,label_no_value,283,1
20180306800796,label_no_value,290,1
20180207901309,no_label_match,565,0
20180126900960,no_label_match,257,0
20180126900959,no_label_match,254,0
20180116800113,label_no_value,320,1
20240627900864,no_label_match,619,0
20240618800440,label_no_value,347,1
20240612900554,no_label_match,763,0
20240610900602,no_label_match,654,0
20240610900599,no_label_match,513,0
20240529900588,no_label_match,1615,0
20240524900676,no_label_match,624,0
20240424800649,no_label_match,557,0
20240417900710,no_label_match,880,0
20181203900612,no_label_match,467,0
20181123900676,no_label_match,591,0
20181114801858,label_no_value,305,1
20181008900695,no_label_match,622,0
20181008900698,no_label_match,652,0
20181008900014,no_label_match,327,0
20181008900012,no_label_match,306,0
20181008900011,no_label_match,304,0
20181008900010,no_label_match,308,0
20200330800003,label_no_value,283,1
20200330800002,label_no_value,281,1
20200327803671,label_no_value,279,1
20200302900955,no_label_match,701,0
20200302900870,no_label_match,565,0
