date,gate_only_mcap_drawdown,kospi_buy_and_hold_drawdown
2010-01-04,0.0,0.0
2010-01-05,0.0,-0.002504314771316407
2010-01-06,0.0,0.0
2010-01-07,0.0,-0.011930645639789406
2010-01-08,0.0,-0.004463205481258337
2010-01-11,0.0,-0.004359462282550242
2010-01-12,0.0,-0.0014085042026446004
2010-01-13,0.0,-0.01703905146122342
2010-01-14,0.0,-0.008050320213779383
2010-01-15,0.0,0.0
2010-01-18,0.0,0.0
2010-01-19,0.0,-0.0004667605359705007
2010-01-20,0.0,0.0
2010-01-21,0.0,0.0
2010-01-22,0.0,-0.021522338528950025
2010-01-25,0.0,-0.029077606824586155
2010-01-26,0.0,-0.04769066841669589
2010-01-27,0.0,-0.054012217295468234
2010-01-28,0.0,-0.04350411998931325
2010-01-29,0.0,-0.06656714475810055
2010-02-01,0.0,-0.06379224203282752
2010-02-02,0.0,-0.06962790763125559
2010-02-03,0.0,-0.05804050351116441
2010-02-04,0.0,-0.05687158515071833
2010-02-05,0.0,-0.08538716306636984
2010-02-08,0.0,-0.09333448975265046
2010-02-09,0.0,-0.08262370967299448
2010-02-10,0.0,-0.08256556572523766
2010-02-11,0.0,-0.06605980790268273
2010-02-12,0.0,-0.06828084679257229
2010-02-16,0.0,-0.0637662270872017
2010-02-17,0.0,-0.048131294967585725
2010-02-18,0.0,-0.051620031955784906
2010-02-19,0.0,-0.06738593459730402
2010-02-22,0.0,-0.0478169656437738
2010-02-23,0.0,-0.04658054871816608
2010-02-24,0.0,-0.055699331567982124
2010-02-25,0.0,-0.07035942317524702
2010-02-26,0.0,-0.06601312600748133
2010-03-02,0.0,-0.0534509652621985
2010-03-03,0.0,-0.04902060757217119
2010-03-04,0.0,-0.051322430130763874
2010-03-05,0.0,-0.04158055240498737
2010-03-08,0.0,-0.026357833354935467
2010-03-09,0.0,-0.025688885108664405
2010-03-10,0.0,-0.02468625532914248
2010-03-11,0.0,-0.02772514622508715
2010-03-12,0.0,-0.02386810718657273
2010-03-15,0.0,-0.03147648668180936
2010-03-16,0.0,-0.03216718918555295
2010-03-17,0.0,-0.011425418133325538
2010-03-18,0.0,-0.015741477070772447
2010-03-19,0.0,-0.009084462967418827
2010-03-22,0.0,-0.01675638040562999
2010-03-23,0.0,-0.01111003114462783
2010-03-24,0.0,-0.0113561202632263
2010-03-25,0.0,-0.006762081695362965
2010-03-26,0.0,-0.0011030416500578122
2010-03-29,0.0,-0.004226512918645731
2010-03-30,0.0,0.0
2010-03-31,0.0,-0.004098820230792555
2010-04-01,0.0,0.0
2010-04-02,0.0,0.0
2010-04-05,0.0,0.0
2010-04-06,0.0,0.0
2010-04-07,0.0,0.0
2010-04-08,0.0,0.0
2010-04-09,0.0,-0.005161292625987746
2010-04-12,0.0,-0.012630705265658904
2010-04-13,0.0,-0.012207915612325482
2010-04-14,0.0,0.0
2010-04-15,0.0,0.0
2010-04-16,0.0,-0.005206718976656588
2010-04-19,0.0,-0.021699397935383558
2010-04-20,0.0,-0.014138134910152589
2010-04-21,0.0,0.0
2010-04-22,0.0,-0.0042442197988264985
2010-04-23,0.0,-0.005338557120228682
2010-04-26,0.0,0.0
2010-04-27,0.0,-0.0012543128955294636
2010-04-28,0.0,-0.009705297100275456
2010-04-29,0.0,-0.012404235405760522
2010-04-30,0.0,-0.004435253186646726
2010-05-03,0.0,-0.015648026602897436
2010-05-04,0.0,-0.016704680784470405
2010-05-06,0.0,-0.03579314111870624
2010-05-07,0.0,-0.05676748477693083
2010-05-10,0.0,-0.03904777118277447
2010-05-11,0.0,-0.0427598601612762
2010-05-12,0.0,-0.04740923782017581
2010-05-13,0.0,-0.028922432358469585
2010-05-14,0.0,-0.027694212532767937
2010-05-17,0.0,-0.05232855141091319
2010-05-18,0.0,-0.056141951215339825
2010-05-19,0.0,-0.06289106237060227
2010-05-20,0.0,-0.07954972209092137
2010-05-24,0.0,-0.07626349003100008
2010-05-25,0.0,-0.10125912643055823
2010-05-26,0.0,-0.08801910569699889
2010-05-27,0.0,-0.07285739997549856
2010-05-28,0.0,-0.06375639371199304
2010-05-31,0.0,-0.05275797163207652
2010-06-01,0.0,-0.05856846299362761
2010-06-03,0.0,-0.03996285368845809
2010-06-04,0.0,-0.03817911818796316
2010-06-07,0.0,-0.052923307847535184
2010-06-08,0.0,-0.044826210399331434
2010-06-09,0.0,-0.04691454645580029
2010-06-10,0.0,-0.044093538427524503
2010-06-11,0.0,-0.029942367769844824
2010-06-14,0.0,-0.02086719547416127
2010-06-15,0.0,-0.020857312399575334
2010-06-16,0.0,-0.011669352858304616
2010-06-17,0.0,-0.009789443736963443
2010-06-18,0.0,-0.007282920095970424
2010-06-21,0.0,0.0
2010-06-22,0.0,-0.004375871441790857
2010-06-23,0.0,-0.007368092339187893
2010-06-24,0.0,0.0
2010-06-25,0.0,-0.005403850288561829
2010-06-28,0.0,-0.0039049814650083947
2010-06-29,0.0,-0.01764465075514643
2010-06-30,0.0,-0.022595364172715904
2010-07-01,0.0,-0.029045370692945327
2010-07-02,0.0,-0.036820895877749504
2010-07-05,0.0,-0.03426082985981771
2010-07-06,0.0,-0.02841728660166898
2010-07-07,0.0,-0.03352941260622888
2010-07-08,0.0,-0.019984738632316423
2010-07-09,0.0,-0.00556295117126504
2010-07-12,0.0,0.0
2010-07-13,0.0,0.0
2010-07-14,0.0,0.0
2010-07-15,0.0,-0.0036023547673600387
2010-07-16,0.0,-0.01043505283659285
2010-07-19,0.0,-0.013871810177237931
2010-07-20,0.0,-0.01082043322430326
2010-07-21,0.0,-0.0035396982375681674
2010-07-22,0.0,-0.010573807674240765
2010-07-23,0.0,0.0
2010-07-26,0.0,0.0
2010-07-27,0.0,-0.00020288518551514478
2010-07-28,0.0,0.0
2010-07-29,0.0,-0.0011348089530408556
2010-07-30,0.0,-0.007095639981456792
2010-08-02,0.0,0.0
2010-08-03,0.0,0.0
2010-08-04,0.0,-0.0003483890286885005
2010-08-05,0.0,-0.0029593529774686322
2010-08-06,0.0,-0.0025888500995494557
2010-08-09,0.0,0.0
2010-08-10,0.0,-0.0046140144120235815
2010-08-11,0.0,-0.01709192738731591
2010-08-12,0.0,-0.03717839259826328
2010-08-13,0.0,-0.02318859767667303
2010-08-16,0.0,-0.024565469768272563
2010-08-17,0.0,-0.01775320275157155
2010-08-18,0.0,-0.013519544880222556
2010-08-19,0.0,-0.003321738035376609
2010-08-20,0.0,-0.005303829485837963
2010-08-23,0.0,-0.009152894089141994
2010-08-24,0.0,-0.01275232425318007
2010-08-25,0.0,-0.026883947223095506
2010-08-26,0.0,-0.029440766151715314
2010-08-27,0.0,-0.02929046844883776
2010-08-30,0.0,-0.011946092367050132
2010-08-31,0.0,-0.021281450511776212
2010-09-01,0.0,-0.008504926608951524
2010-09-02,0.0,-0.0018919526721906665
2010-09-03,0.0,0.0
2010-09-06,0.0,0.0
2010-09-07,0.0,-0.002313340495237126
2010-09-08,0.0,-0.006740786301228319
2010-09-09,0.0,-0.003425792813825379
2010-09-10,0.0,0.0
2010-09-13,0.0,0.0
2010-09-14,0.0,-0.001615196803265273
2010-09-15,0.0,0.0
2010-09-16,0.0,-0.0062265207487669505
2010-09-17,0.0,0.0
2010-09-20,0.0,0.0
2010-09-24,0.0,0.0
2010-09-27,0.0,0.0
2010-09-28,0.0,-0.0023149490439139386
2010-09-29,0.0,0.0
2010-09-30,0.0,0.0
2010-10-01,0.0,0.0
2010-10-04,0.0,0.0
2010-10-05,0.0,0.0
2010-10-06,0.0,0.0
2010-10-07,0.0,-0.0011377426889932485
2010-10-08,0.0,-0.0027452462258777954
2010-10-11,0.0,-0.006130663877532916
2010-10-12,0.0,-0.01732602454621157
2010-10-13,0.0,-0.012619939204540076
2010-10-14,0.0,0.0
2010-10-15,0.0,0.0
2010-10-18,0.0,-0.013765012756898454
