ticker,classification,in_official_universe,in_union_panel,in_kiwoom_2010_2016,in_dynamic_top100_2017_2024,in_dynamic_top100_2018_2024,in_krx_2025_2026
000020,matched_official_and_panel,True,True,True,True,True,False
000030,matched_official_and_panel,True,True,True,True,True,False
000040,matched_official_and_panel,True,True,True,True,True,True
000050,matched_official_and_panel,True,True,True,True,True,True
000060,official_only,True,False,False,False,False,False
000070,matched_official_and_panel,True,True,True,True,True,True
000075,official_only,True,False,False,False,False,False
000080,matched_official_and_panel,True,True,True,True,True,True
000087,official_only,True,False,False,False,False,False
000100,matched_official_and_panel,True,True,True,True,True,True
000105,official_only,True,False,False,False,False,False
000120,matched_official_and_panel,True,True,True,True,True,True
000140,matched_official_and_panel,True,True,False,True,True,False
000145,official_only,True,False,False,False,False,False
000150,matched_official_and_panel,True,True,True,True,True,True
000155,official_only,True,False,False,False,False,False
000157,official_only,True,False,False,False,False,False
000180,matched_official_and_panel,True,True,True,True,True,False
0001A0,official_only,True,False,False,False,False,False
000210,matched_official_and_panel,True,True,True,True,True,True
000215,official_only,True,False,False,False,False,False
000220,matched_official_and_panel,True,True,True,True,True,True
000225,official_only,True,False,False,False,False,False
000227,official_only,True,False,False,False,False,False
000230,matched_official_and_panel,True,True,True,True,True,True
000240,matched_official_and_panel,True,True,True,True,True,True
000250,official_only,True,False,False,False,False,False
000270,matched_official_and_panel,True,True,True,True,True,True
000300,matched_official_and_panel,True,True,True,True,True,False
000320,matched_official_and_panel,True,True,False,True,True,True
000325,official_only,True,False,False,False,False,False
000327,official_only,True,False,False,False,False,False
000360,matched_official_and_panel,True,True,True,False,False,False
000365,official_only,True,False,False,False,False,False
000370,matched_official_and_panel,True,True,True,True,True,True
000390,matched_official_and_panel,True,True,True,True,True,True
000400,matched_official_and_panel,True,True,True,True,True,True
000420,matched_official_and_panel,True,True,True,False,False,False
000425,official_only,True,False,False,False,False,False
000430,matched_official_and_panel,True,True,True,True,True,True
000440,official_only,True,False,False,False,False,False
000470,official_only,True,False,False,False,False,False
000480,matched_official_and_panel,True,True,False,True,True,False
000490,matched_official_and_panel,True,True,True,True,True,True
0004V0,official_only,True,False,False,False,False,False
0004Y0,official_only,True,False,False,False,False,False
000500,matched_official_and_panel,True,True,False,True,True,True
000520,matched_official_and_panel,True,True,False,True,True,False
000540,matched_official_and_panel,True,True,True,True,True,True
000545,official_only,True,False,False,False,False,False
000547,official_only,True,False,False,False,False,False
000590,matched_official_and_panel,True,True,True,True,True,False
000610,official_only,True,False,False,False,False,False
000640,matched_official_and_panel,True,True,True,True,True,False
000650,matched_official_and_panel,True,True,True,True,False,True
000660,matched_official_and_panel,True,True,True,True,True,True
000670,matched_official_and_panel,True,True,True,True,True,True
000680,matched_official_and_panel,True,True,False,True,True,True
000685,official_only,True,False,False,False,False,False
000687,official_only,True,False,False,False,False,False
000700,matched_official_and_panel,True,True,True,False,False,False
000720,matched_official_and_panel,True,True,True,True,True,True
000725,official_only,True,False,False,False,False,False
000760,matched_official_and_panel,True,True,True,True,True,True
0007C0,official_only,True,False,False,False,False,False
0007J0,official_only,True,False,False,False,False,False
000800,matched_official_and_panel,True,True,True,False,False,False
000810,matched_official_and_panel,True,True,True,True,True,True
000815,official_only,True,False,False,False,False,False
000830,matched_official_and_panel,True,True,True,False,False,False
000835,official_only,True,False,False,False,False,False
000850,matched_official_and_panel,True,True,True,True,True,True
000860,matched_official_and_panel,True,True,False,True,True,False
000880,matched_official_and_panel,True,True,True,True,True,True
000885,official_only,True,False,False,False,False,False
00088K,official_only,True,False,False,False,False,False
000890,matched_official_and_panel,True,True,True,True,True,False
000895,official_only,True,False,False,False,False,False
0008Z0,official_only,True,False,False,False,False,False
000910,matched_official_and_panel,True,True,True,True,True,True
000950,matched_official_and_panel,True,True,True,True,True,False
000970,matched_official_and_panel,True,True,True,True,True,True
000990,matched_official_and_panel,True,True,True,True,True,True
000995,official_only,True,False,False,False,False,False
000997,official_only,True,False,False,False,False,False
0009K0,official_only,True,False,False,False,False,False
001000,official_only,True,False,False,False,False,False
001020,matched_official_and_panel,True,True,True,True,True,False
001040,matched_official_and_panel,True,True,True,True,True,True
001045,official_only,True,False,False,False,False,False
001049,official_only,True,False,False,False,False,False
00104K,matched_official_and_panel,True,True,False,True,True,False
001060,matched_official_and_panel,True,True,True,True,True,True
001065,official_only,True,False,False,False,False,False
001067,official_only,True,False,False,False,False,False
001070,matched_official_and_panel,True,True,True,True,True,False
001080,matched_official_and_panel,True,True,False,True,True,True
0010F0,official_only,True,False,False,False,False,False
