ticker,markets,first_snapshot,last_snapshot,n_snapshots,permanent_id,permanent_id_source,corp_code_dart,corp_name_dart,name_krx,terminal_status,terminal_date,confidence_flag
109610,KOSDAQ,2016-01-04,2026-05-04,125,,,,,,delisted,2021-12-01,delisted_with_terminal
109670,KOSDAQ,2024-01-02,2026-05-04,29,,,,,,,,still_listed
109740,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,active_recovered,2018-09-19,still_listed
109820,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,suspended_last_known,2018-07-06,delisted_with_terminal
109860,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,active,,still_listed
109960,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,suspended_last_known,2026-04-28,delisted_with_terminal
110020,KOSDAQ,2019-01-02,2026-05-04,89,,,,,,active,,still_listed
110310,KOSDAQ,2010-01-04,2014-04-01,52,,,,,,,,disappeared_no_terminal
110500,KOSDAQ,2011-07-01,2014-09-01,39,,,,,,,,disappeared_no_terminal
110570,KOSPI,2011-11-01,2017-04-03,66,,,,,,,,disappeared_no_terminal
110790,KOSDAQ,2018-10-01,2026-05-04,92,,,,,,active,,still_listed
110990,KOSDAQ,2018-09-03,2026-05-04,93,,,,,,,,still_listed
111110,KOSPI,2017-03-02,2026-05-04,111,DART_00226316,dart_corp_code,226316.0,호전실업,호전실업,,,still_listed
111380,KOSPI,2023-12-01,2026-05-04,30,DART_00367710,dart_corp_code,367710.0,동인기연,동인기연,,,still_listed
111610,KOSDAQ,2010-02-01,2016-01-04,72,,,,,,,,disappeared_no_terminal
111710,KOSDAQ,2018-12-03,2026-05-04,90,,,,,,,,still_listed
111770,KOSPI,2010-01-04,2026-05-04,197,DART_00776820,dart_corp_code,776820.0,영원무역,영원무역,,,still_listed
111820,KOSDAQ,2010-07-01,2021-09-01,135,,,,,,delisted,2021-09-14,delisted_with_terminal
111870,KOSDAQ,2010-12-01,2026-01-02,182,,,,,,delisted,2026-01-23,delisted_with_terminal
112040,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,suspended_last_known,2021-08-30,delisted_with_terminal
112240,KOSDAQ,2011-12-01,2020-06-01,103,,,,,,delisted,2020-06-17,delisted_with_terminal
112290,KOSDAQ,2022-08-01,2026-05-04,46,,,,,,active,,still_listed
112610,KOSPI,2014-12-01,2026-05-04,138,DART_00670340,dart_corp_code,670340.0,씨에스윈드,씨에스윈드,suspended_last_known,2020-11-20,delisted_with_terminal
113810,KOSDAQ,2012-12-03,2026-05-04,162,,,,,,,,still_listed
114090,KOSPI,2010-01-04,2026-05-04,197,DART_00557508,dart_corp_code,557508.0,GKL,GKL,,,still_listed
114120,KOSDAQ,2010-08-02,2024-02-01,163,,,,,,delisted,2024-01-31,delisted_with_terminal
114130,KOSPI,2010-01-04,2012-02-01,26,,,,,,,,disappeared_no_terminal
114140,KOSPI,2010-01-04,2012-02-01,26,,,,,,,,disappeared_no_terminal
114190,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,active_recovered,2022-05-24,still_listed
114410,KOSPI,2010-01-04,2010-07-01,7,,,,,,,,disappeared_no_terminal
114450,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,suspended_last_known,2023-08-22,delisted_with_terminal
114570,KOSDAQ,2010-03-02,2022-02-03,144,,,,,,delisted,2022-02-10,delisted_with_terminal
114630,KOSDAQ,2010-02-01,2026-05-04,196,,,,,,active,,still_listed
114810,KOSDAQ,2013-03-04,2026-05-04,159,,,,,,active_recovered,2024-04-01,still_listed
114840,KOSDAQ,2021-11-01,2026-05-04,55,,,,,,suspended_last_known,2024-02-14,delisted_with_terminal
115160,KOSDAQ,2010-01-04,2026-05-04,197,,,,,,active,,still_listed
115180,KOSDAQ,2016-03-02,2026-05-04,123,,,,,,active_recovered,2022-10-06,still_listed
115310,KOSDAQ,2010-03-02,2026-05-04,195,,,,,,active,,still_listed
115390,KOSPI,2010-02-01,2024-12-02,179,KRX_TICKER_115390,krx_ticker_fallback,,,락앤락,suspended_last_known,2024-08-30,delisted_with_terminal
115440,KOSDAQ,2010-02-01,2026-05-04,196,,,,,,suspended_last_known,2023-07-27,delisted_with_terminal
115450,KOSDAQ,2010-04-01,2026-05-04,194,,,,,,suspended_last_known,2023-02-28,delisted_with_terminal
115480,KOSDAQ,2012-01-02,2026-05-04,173,,,,,,suspended_last_known,2026-04-21,delisted_with_terminal
115500,KOSDAQ,2010-05-03,2026-05-04,193,,,,,,,,still_listed
115530,KOSDAQ,2011-12-01,2026-05-04,174,,,,,,active_recovered,2022-04-25,still_listed
115570,KOSDAQ,2010-02-01,2026-05-04,196,,,,,,,,still_listed
115610,KOSDAQ,2010-03-02,2026-05-04,195,,,,,,active_recovered,2026-04-29,still_listed
115960,KOSDAQ,2015-11-02,2024-03-04,101,,,,,,suspended_last_known,2024-02-05,delisted_with_terminal
117580,KOSPI,2011-01-03,2026-05-04,185,DART_00787376,dart_corp_code,787376.0,대성에너지,대성에너지,,,still_listed
117670,KOSDAQ,2010-10-01,2026-05-04,188,,,,,,active_recovered,2025-07-04,still_listed
117730,KOSDAQ,2018-12-03,2026-05-04,90,,,,,,suspended_last_known,2020-10-05,delisted_with_terminal
117930,KOSPI,2010-01-04,2017-03-02,87,,,,,,,,disappeared_no_terminal
118000,KOSPI,2010-01-04,2026-05-04,197,DART_00791209,dart_corp_code,791209.0,메타케어,메타케어,suspended_last_known,2026-03-06,delisted_with_terminal
118990,KOSDAQ,2017-09-01,2026-05-04,105,,,,,,suspended_last_known,2022-05-17,delisted_with_terminal
119250,KOSPI,2010-05-03,2014-10-01,54,,,,,,,,disappeared_no_terminal
119500,KOSDAQ,2010-10-01,2026-05-04,188,,,,,,,,still_listed
119610,KOSDAQ,2010-08-02,2026-05-04,190,,,,,,active_recovered,2025-05-12,still_listed
119650,KOSPI,2010-02-01,2026-05-04,196,DART_00797364,dart_corp_code,797364.0,KC코트렐,KC코트렐,delisted,2025-04-10,delisted_with_terminal
119830,KOSDAQ,2010-11-01,2026-05-04,187,,,,,,,,still_listed
119850,KOSDAQ,2013-11-01,2026-05-04,151,,,,,,suspended_last_known,2024-05-14,delisted_with_terminal
119860,KOSDAQ,2011-02-01,2024-09-02,164,,,,,,suspended_last_known,2024-08-30,delisted_with_terminal
120030,KOSPI,2010-03-02,2026-05-04,195,DART_00796994,dart_corp_code,796994.0,조선선재,조선선재,active,,still_listed
120110,KOSPI,2010-02-01,2026-05-04,196,DART_00795135,dart_corp_code,795135.0,코오롱인더,코오롱인더,delisted,2018-08-03,delisted_with_terminal
120115,KOSPI,2010-02-01,2026-05-04,196,,,,,,,,still_listed
120240,KOSDAQ,2011-01-03,2026-05-04,185,,,,,,,,still_listed
121440,KOSDAQ,2011-06-01,2026-05-04,180,,,,,,suspended_last_known,2019-09-09,delisted_with_terminal
121550,KOSPI,2010-02-01,2015-10-01,69,,,,,,,,disappeared_no_terminal
121600,KOSDAQ,2011-03-02,2026-05-04,183,,,,,,,,still_listed
121800,KOSDAQ,2011-12-01,2026-05-04,174,,,,,,delisted,2026-04-10,delisted_with_terminal
121850,KOSDAQ,2012-10-02,2026-05-04,164,,,,,,active,,still_listed
121890,KOSDAQ,2010-08-02,2026-05-04,190,,,,,,active_recovered,2023-10-20,still_listed
121910,KOSPI,2010-04-01,2012-10-02,31,,,,,,,,disappeared_no_terminal
121950,KOSDAQ,2010-04-01,2012-10-02,31,,,,,,,,disappeared_no_terminal
122290,KOSPI,2010-04-01,2012-11-01,32,,,,,,,,disappeared_no_terminal
122310,KOSDAQ,2018-06-01,2026-05-04,96,,,,,,suspended_last_known,2020-02-05,delisted_with_terminal
122350,KOSDAQ,2010-04-01,2026-05-04,194,,,,,,,,still_listed
122450,KOSDAQ,2011-06-01,2026-05-04,180,,,,,,active,,still_listed
122640,KOSDAQ,2016-01-04,2026-05-04,125,,,,,,suspended_last_known,2018-01-22,delisted_with_terminal
122690,KOSDAQ,2010-06-01,2026-05-04,192,,,,,,suspended_last_known,2021-03-29,delisted_with_terminal
122750,KOSPI,2010-06-01,2012-12-03,31,,,,,,,,disappeared_no_terminal
122800,KOSDAQ,2010-12-01,2020-02-03,111,,,,,,delisted,2020-02-04,delisted_with_terminal
122870,KOSDAQ,2011-12-01,2026-05-04,174,,,,,,,,still_listed
122900,KOSPI,2010-08-02,2026-05-04,190,DART_00360142,dart_corp_code,360142.0,아이마켓코리아,아이마켓코리아,,,still_listed
122990,KOSDAQ,2010-10-01,2026-05-04,188,,,,,,suspended_last_known,2019-03-11,delisted_with_terminal
123010,KOSDAQ,2016-08-01,2026-05-04,118,,,,,,suspended_last_known,2023-06-29,delisted_with_terminal
123040,KOSDAQ,2010-09-01,2026-05-04,189,,,,,,delisted,2020-11-23,delisted_with_terminal
123100,KOSDAQ,2011-11-01,2019-02-01,88,,,,,,suspended_last_known,2019-01-25,delisted_with_terminal
123160,KOSDAQ,2010-07-01,2013-01-02,31,,,,,,,,disappeared_no_terminal
123260,KOSDAQ,2012-01-02,2020-04-01,100,,,,,,delisted,2020-03-31,delisted_with_terminal
123290,KOSDAQ,2010-09-01,2013-03-04,31,,,,,,,,disappeared_no_terminal
123300,KOSDAQ,2010-11-01,2013-05-02,31,,,,,,,,disappeared_no_terminal
123330,KOSDAQ,2011-09-01,2026-05-04,177,,,,,,active,,still_listed
123410,KOSDAQ,2010-09-01,2026-05-04,189,,,,,,,,still_listed
123420,KOSDAQ,2010-12-01,2026-05-04,186,,,,,,,,still_listed
123550,KOSDAQ,2010-09-01,2013-03-04,31,,,,,,,,disappeared_no_terminal
123570,KOSDAQ,2011-12-01,2026-05-04,174,,,,,,suspended_last_known,2018-05-30,delisted_with_terminal
123690,KOSPI,2010-06-01,2026-05-04,192,DART_00823429,dart_corp_code,823429.0,한국화장품,한국화장품,,,still_listed
123700,KOSPI,2010-06-01,2026-05-04,192,DART_00815369,dart_corp_code,815369.0,에스제이엠,SJM,,,still_listed
123750,KOSDAQ,2010-08-02,2026-05-04,190,,,,,,active_recovered,2020-04-07,still_listed
123840,KOSDAQ,2010-11-01,2026-05-04,187,,,,,,active_recovered,2026-05-04,still_listed
123860,KOSDAQ,2010-12-01,2026-05-04,186,,,,,,,,still_listed
123890,KOSPI,2016-08-01,2026-05-04,118,DART_00404701,dart_corp_code,404701.0,한국자산신탁,한국자산신탁,suspended_last_known,2019-12-16,delisted_with_terminal
123910,KOSDAQ,2010-09-01,2013-03-04,31,,,,,,,,disappeared_no_terminal
124050,KOSDAQ,2010-08-02,2013-02-01,31,,,,,,,,disappeared_no_terminal
124500,KOSDAQ,2015-01-02,2026-05-04,137,,,,,,,,still_listed
124560,KOSDAQ,2020-01-02,2026-05-04,77,,,,,,suspended_last_known,2022-05-11,delisted_with_terminal
125020,KOSDAQ,2025-06-02,2026-05-04,12,,,,,,,,still_listed
125210,KOSDAQ,2019-04-01,2026-05-04,86,,,,,,,,still_listed
125490,KOSDAQ,2025-09-01,2026-05-04,9,,,,,,,,still_listed
126340,KOSDAQ,2020-10-05,2026-05-04,68,,,,,,delisted,2020-09-17,delisted_with_terminal
126560,KOSPI,2011-01-03,2026-05-04,185,DART_00403632,dart_corp_code,403632.0,현대퓨처넷,현대퓨처넷,,,still_listed
126600,KOSDAQ,2010-12-01,2026-05-04,186,,,,,,,,still_listed
126640,KOSDAQ,2010-09-01,2026-05-04,189,,,,,,,,still_listed
126680,KOSDAQ,2011-01-03,2013-07-01,31,,,,,,,,disappeared_no_terminal
126700,KOSDAQ,2010-10-01,2026-05-04,188,,,,,,,,still_listed
126720,KOSPI,2022-08-01,2026-05-04,46,DART_00193328,dart_corp_code,193328.0,수산인더스트리,수산인더스트리,,,still_listed
126730,KOSDAQ,2024-06-03,2026-05-04,24,,,,,,,,still_listed
126870,KOSDAQ,2012-03-02,2022-10-04,128,,,,,,delisted,2022-10-13,delisted_with_terminal
126880,KOSDAQ,2011-02-01,2026-05-04,184,,,,,,suspended_last_known,2025-10-01,delisted_with_terminal
127120,KOSDAQ,2012-01-02,2026-05-04,173,,,,,,active,,still_listed
127160,KOSDAQ,2015-12-01,2022-09-01,82,,,,,,delisted,2022-09-15,delisted_with_terminal
127710,KOSDAQ,2015-08-03,2026-05-04,130,,,,,,active,,still_listed
127980,KOSDAQ,2023-03-02,2026-05-04,39,,,,,,,,still_listed
128540,KOSDAQ,2019-01-02,2026-05-04,89,,,,,,suspended_last_known,2022-08-08,delisted_with_terminal
128660,KOSDAQ,2011-01-03,2026-05-04,185,,,,,,,,still_listed
128820,KOSPI,2010-08-02,2026-05-04,190,DART_00828789,dart_corp_code,828789.0,대성산업,대성산업,suspended_last_known,2025-03-12,delisted_with_terminal
128910,KOSDAQ,2011-01-03,2013-07-01,31,,,,,,,,disappeared_no_terminal
128940,KOSPI,2010-08-02,2026-05-04,190,DART_00828497,dart_corp_code,828497.0,한미약품,한미약품,,,still_listed
129260,KOSPI,2012-01-02,2026-05-04,173,DART_00151368,dart_corp_code,151368.0,인터지스,인터지스,,,still_listed
129890,KOSDAQ,2021-01-04,2026-05-04,65,,,,,,active,,still_listed
129920,KOSDAQ,2022-09-01,2026-05-04,45,,,,,,,,still_listed
130500,KOSDAQ,2013-09-02,2026-05-04,153,,,,,,suspended_last_known,2021-02-08,delisted_with_terminal
130580,KOSDAQ,2012-01-02,2026-05-04,173,,,,,,,,still_listed
130660,KOSPI,2011-01-03,2026-05-04,185,DART_00194947,dart_corp_code,194947.0,한전산업,한전산업,,,still_listed
130740,KOSDAQ,2011-03-02,2026-05-04,183,,,,,,,,still_listed
130960,KOSDAQ,2010-11-01,2018-07-02,93,,,,,,suspended_last_known,2018-06-25,delisted_with_terminal
131030,KOSDAQ,2011-01-03,2026-05-04,185,,,,,,,,still_listed
131090,KOSDAQ,2012-01-02,2026-05-04,173,,,,,,active,,still_listed
131100,KOSDAQ,2011-07-01,2026-05-04,179,,,,,,active_recovered,2021-11-02,still_listed
131180,KOSDAQ,2011-02-01,2026-05-04,184,,,,,,suspended_last_known,2026-04-21,delisted_with_terminal
131220,KOSDAQ,2011-11-01,2026-05-04,175,,,,,,,,still_listed
131290,KOSDAQ,2011-02-01,2026-05-04,184,,,,,,,,still_listed
