window,hypothesis,description,value,threshold,passes
84,H1,60-month D006 reproduces D001 Sharpe 0.4842,0.4783455711739302,0.4842,
84,H7,Window Sharpe is at least 0.40 for plateau count,0.4783455711739302,0.4,True
84,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,True
84,H9,"ON share, max DD, and composite distribution are descriptive checks",0.18032786885245902,,
