ending_year,start_year,end_year,sharpe
2017,2015,2017,0.5757220961301395
2018,2016,2018,0.25592266085670196
2019,2017,2019,0.24249606196537915
2020,2018,2020,0.6384478812327002
2021,2019,2021,0.44589522729320374
2022,2020,2022,0.2615219923980915
2023,2021,2023,-0.3064823258597583
2024,2022,2024,0.052646861037993944
2025,2023,2025,1.115709228253311
2026,2024,2026,1.7903098712258132
