variant,cumulative_net_total_return,sharpe,max_drawdown,sleeve_cumulative,sleeve_max_drawdown,cumulative_delta_vs_d013,sharpe_delta_vs_d013,mdd_delta_vs_d013,cumulative_pass,sharpe_pass,treasury_drawdown_pass,pass
D013,2.5457702903350135,0.5333654677635088,-0.3392346174957135,0.0,0.0,0.0,0.0,0.0,,,,
H001,3.571886489071015,0.6461391042868482,-0.3392346174957135,0.2893916172552795,,1.0261161987360015,0.11277363652333938,0.0,,,,
H002,2.7271802643580934,0.5544017014515334,-0.3392346174957135,0.0511623594223245,-0.1725245531690773,0.1814099740230799,0.021036233688024653,0.0,,,,
H003,4.013998939785267,0.6859100455847053,-0.3392346174957135,0.41407889660874675,-0.13468957391253422,1.4682286494502539,0.15254457782119646,0.0,,,,
verdict,,,,0.41407889660874675,-0.13468957391253422,1.4682286494502539,0.15254457782119646,0.0,True,True,False,False
