regime,quarter_count,mean_quarter_treasury_krw_return,compounded_treasury_krw_return,sum_duration_return,sum_carry_return,sum_fx_return,positive_quarter_rate
rate_fall,19,0.04349126904518811,1.18502955588187,0.4942,0.1388,0.1933341118585742,0.7894736842105263
rate_rise,19,-0.02180862067741534,-0.3528330576571862,-0.44170000000000004,0.12695,-0.09961379287089145,0.21052631578947367
calendar_2022,4,0.009925512491809441,0.030362280349587545,-0.0812,0.0324,0.08850204996723776,0.75
