window,net_cum,cost0_cum,Sharpe,MaxDD,pos_years,annualized,ON_share,trades,2010-2017_net,2018-2026_net,2010-2014_trades,2010-2014_net,composite_mean,composite_std,composite_positive_share
36,0.9310997700227825,1.054637548874438,0.3163979756328085,-0.3392346174957135,4,0.04490999665703166,0.3114754098360656,95,-0.026594350089605312,0.9838592165563729,0,0.0,-0.07804286132658746,0.5055833984556,0.475
48,1.3032394319755864,1.42619120722446,0.4687319570751616,-0.22305633883403753,4,0.057274928501143796,0.26229508196721313,80,0.0,1.3032394319755864,0,0.0,-0.16869428293410313,0.504675237849478,0.4444444444444444
60,1.2906841868750734,1.397144393892741,0.48422119520674023,-0.23673459774712757,4,0.05688921504561084,0.22950819672131148,70,0.0,1.2906841868750734,0,0.0,-0.22008966303812005,0.5317946006029692,0.4375
72,1.1947792772228127,1.2893618637045297,0.4756713625654831,-0.23673459774712757,4,0.05387604987188732,0.21311475409836064,65,0.0,1.1947792772228127,0,0.0,-0.172155889429335,0.4932325992929362,0.4642857142857143
84,1.132793427600841,1.2103387037586275,0.4783455711739302,-0.2367345977471278,3,0.05186248426144635,0.18032786885245902,55,0.0,1.132793427600841,0,0.0,-0.22175200429375552,0.5342522616770242,0.4583333333333333
