carrier,signal_date,vix,usdkrw,USDKRW_yoy,KOSPI_realized_vol_60d,VIX_z,USDKRW_z,KOSPI_vol_z,stress_score,z_window,usdkrw_yoy_lookback_days,kospi_vol_window,exposure_scalar
D013,2010-03-31,17.13,1131.2,,0.0107863508286885,-1.0010766564889524,,,,60,252,60,1.0
D013,2010-06-30,34.13,1220.85,,0.0111146196300801,1.1105710192147058,,1.0935162931652935,,60,252,60,1.0
D013,2010-09-30,23.25,1140.1,,0.00781234144538,-0.4670285096641352,,-1.2883013457894876,,60,252,60,1.0
D013,2010-12-30,17.28,1130.6,,0.008130358956006,-1.0425273660631005,,0.2935645659824816,,60,252,60,1.0
D013,2011-03-31,17.71,1097.25,-0.0332599118942731,0.0103968706334971,-0.3205279193312227,,1.8024347717214777,,60,252,60,1.0
D013,2011-06-30,17.27,1066.3,-0.1135220517936567,0.0114974585949347,-0.089103090683024,-1.1732247375437164,1.3284224878493367,0.022031553207532,60,252,60,1.0
D013,2011-09-30,38.84,1180.9,0.0309035355739852,0.0233483185060981,0.97192295170374,2.456878404355927,1.8109610153611104,1.746587457140259,60,252,60,0.6267062714298705
D013,2011-12-29,23.52,1156.5,0.0039934022050525,0.0172921982042868,-1.4225049773389498,-0.2620356470238872,-2.318793881468654,-1.3344448352771636,60,252,60,1.0
D013,2012-03-30,15.48,1131.4,0.0172630821794641,0.0084634178848765,-1.2553992954898128,0.7314363731408462,-1.748125692406288,-0.757362871585085,60,252,60,1.0
D013,2012-06-29,19.71,1141.17,0.051818056131619,0.0116880833821582,-0.1038387470324726,-0.7308494621859792,1.7818907486909654,0.3157341798241712,60,252,60,1.0
D013,2012-09-28,14.84,1111.21,-0.0517876951958358,0.0110026667702731,-0.835748263496221,-2.54974350088433,-1.0202947243252014,-1.4685954962352508,60,252,60,1.0
D013,2012-12-28,19.47,1070.4,-0.0684073107049607,0.0068447327270146,2.1008242118049107,-1.2100099887166462,-1.46905192309646,-0.1927459000027318,60,252,60,1.0
D013,2013-03-29,12.7,1112.48,-0.0198414096916299,0.006471585254528,-0.6197856542208119,0.8051790849776544,-0.988830643064646,-0.2678124041026011,60,252,60,1.0
