variant,cumulative_net_total_return,sharpe,max_drawdown,trade_count,baseline_variant,baseline_cumulative_net_total_return,baseline_sharpe,baseline_max_drawdown,cumulative_uplift_vs_f001,sharpe_uplift_vs_f001,mdd_uplift_vs_f001
F002-A D013 direct,-0.8529580972033175,-0.4072782866963429,-0.9069895495190158,109,F001-A D013 direct,2.545770290335013,0.5333654677635088,-0.3392346174957135,-3.3987283875383305,-0.9406437544598517,-0.5677549320233023
F002-B E014,-0.5751596013669438,-0.22480559307602763,-0.7864378005494476,109,F001-B E014 neutral,3.621084739339225,0.6311872415922518,-0.3564186937144888,-4.196244340706169,-0.8559928346682795,-0.43001910683495875
