stress_window,name,asset_type,currency,start_date,end_date,trading_days,total_return,max_drawdown,sharpe,status
gfc_proxy_2008_2009,SPY,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,-0.19434019207140052,-0.5187372672124287,-0.13707632598696234,measured
gfc_proxy_2008_2009,QQQ,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,-0.08412817246813364,-0.4939733542216749,0.03682389547550224,measured
gfc_proxy_2008_2009,IWM,ETF_BUYHOLD,USD,,,0,,,,unavailable
gfc_proxy_2008_2009,IEF,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,0.09363539584209435,-0.10401401034625013,0.5116046799597025,measured
gfc_proxy_2008_2009,TLT,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,0.032547895222130085,-0.2658535908414297,0.17845511334642475,measured
gfc_proxy_2008_2009,SHY,ETF_BUYHOLD,USD,,,0,,,,unavailable
gfc_proxy_2008_2009,GLD,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,0.2645533441759562,-0.2941413603663835,0.5645784258752855,measured
gfc_proxy_2008_2009,UUP,ETF_BUYHOLD,USD,,,0,,,,unavailable
gfc_proxy_2008_2009,DBC,ETF_BUYHOLD,USD,,,0,,,,unavailable
gfc_proxy_2008_2009,VWO,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,-0.1593869772362465,-0.6532759814869291,0.1002252618191533,measured
gfc_proxy_2008_2009,EWY,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,-0.21799743532044502,-0.6966737111482855,0.08837772323238921,measured
gfc_proxy_2008_2009,EWJ,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,-0.2433175430124228,-0.4967325808287332,-0.20244250062970698,measured
gfc_proxy_2008_2009,EWZ,ETF_BUYHOLD,USD,2008-01-02,2009-12-31,505,0.010883892725062072,-0.7304390256873459,0.31949086096749907,measured
gfc_proxy_2008_2009,MCHI,ETF_BUYHOLD,USD,,,0,,,,unavailable
gfc_proxy_2008_2009,SPY,ETF_BUYHOLD,KRW,2008-01-02,2009-12-31,505,0.0009673665343954418,-0.28177638064679045,0.19577248835319674,measured
gfc_proxy_2008_2009,QQQ,ETF_BUYHOLD,KRW,2008-01-02,2009-12-31,505,0.13789691662124293,-0.29848172703999465,0.35852803096652747,measured
gfc_proxy_2008_2009,IWM,ETF_BUYHOLD,KRW,,,0,,,,unavailable
gfc_proxy_2008_2009,IEF,ETF_BUYHOLD,KRW,2008-01-02,2009-12-31,505,0.35875382059753735,-0.28402660068593577,0.7090699367081877,measured
gfc_proxy_2008_2009,TLT,ETF_BUYHOLD,KRW,2008-01-02,2009-12-31,505,0.2828575253846164,-0.34700106253519136,0.5556806880837807,measured
gfc_proxy_2008_2009,SHY,ETF_BUYHOLD,KRW,,,0,,,,unavailable
gfc_proxy_2008_2009,GLD,ETF_BUYHOLD,KRW,2008-01-02,2009-12-31,505,0.5711055935835487,-0.2909756896367216,0.816801793452277,measured
gfc_proxy_2008_2009,UUP,ETF_BUYHOLD,KRW,,,0,,,,unavailable
gfc_proxy_2008_2009,DBC,ETF_BUYHOLD,KRW,,,0,,,,unavailable
