sample_id,bucket,category,period,rcept_no,rcept_dt,stock_code,corp_code,corp_name,corp_cls,report_nm,is_correction,body_format,n_findings,labels_present,classification,effective_date_value,effective_date_label,effective_date_field_type,rcept_relation,reviewer_confidence,low_confidence_reason
MAN_0013,suspension_related_pre,suspension_related,pre_2018,20120330904258,20120330,045470,00264811,에이프로테크놀로지,E,주권매매거래정지기간변경,False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2012-03-16,정지기간,explicit_suspension_period,before_rcept_dt,high,
MAN_0014,suspension_related_pre,suspension_related,pre_2018,20130129900476,20130129,068420,00407975,엔터미디어,E,주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2013-01-08,정지기간,explicit_suspension_period,before_rcept_dt,high,
MAN_0015,suspension_related_pre,suspension_related,pre_2018,20110324900033,20110324,081090,00582054,씨모텍,E,주권매매거래정지(감사의견 비적정설),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2011-03-24,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0016,suspension_related_pre,suspension_related,pre_2018,20170718900129,20170718,215480,01064069,토박스코리아,K,주권매매거래정지(무상증자),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2017-07-18,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0017,suspension_related_pre,suspension_related,pre_2018,20170313900304,20170313,079970,00596260,투비소프트,K,주권매매거래정지(우회상장여부 및 요건충족확인),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2017-03-13,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0018,suspension_related_pre,suspension_related,pre_2018,20110824900183,20110824,094820,00485177,일진파워,K,주권매매거래정지(무상증자),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2011-08-24,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0019,suspension_related_pre,suspension_related,pre_2018,20150306900310,20150306,045660,00256502,에이텍,K,주권매매거래정지(분할),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2015-03-06,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0020,suspension_related_pre,suspension_related,pre_2018,20160502900413,20160502,032820,00231044,우리기술,K,주권매매거래정지(투자자 보호),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2016-05-02,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0021,suspension_related_post,suspension_related,post_2018,20191104900302,2019-11-04,035810,242378,이지홀딩스,K,주권매매거래정지(회사분할),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2019-11-04,정지기간,explicit_suspension_period,unknown,high,
MAN_0022,suspension_related_post,suspension_related,post_2018,20240702900532,2024-07-02,317240,1353024,TS트릴리온,K,주권매매거래정지기간변경              (풍문사유(채권자에 의한 회생절차개시신청설) 미해소),False,html_inline,6,거래정지기간|매매거래정지|매매거래정지기간|정지기간,explicit_suspension_period,2024-07-01,매매거래정지기간,explicit_suspension_period,unknown,high,
MAN_0023,suspension_related_post,suspension_related,post_2018,20200409901121,2020-04-09,030270,100258,에스마크,E,주권매매거래정지기간변경,False,html_inline,2,매매거래정지|정지기간,explicit_suspension_period,2019-02-15,정지기간,explicit_suspension_period,unknown,high,
MAN_0024,suspension_related_post,suspension_related,post_2018,20190905900318,2019-09-05,031980,208444,피에스케이홀딩스,K,주권매매거래정지(우회상장여부 및 요건충족확인),False,html_inline,3,매매거래정지|정지기간|정지일,explicit_suspension_period,2019-09-05,정지기간,explicit_suspension_period,unknown,high,
